Name,Type,Distance [Mpc],,Ks,M_KsT,M_VT,(V-Ks)_0,(B-V)_0,log M_bulge [Msolar],M_BH (low - high) [Msolar],M_BH [Msolar * 10e6],sigma_e [km/s],Flags: M,Flags: C,Flags: M_BH,Source
M 32,E2,0.805,7,5.1,−19.45,−16.64,2.816,0.895,9.05±0.10,2.45(1.43−3.46)×10e6,2.45,77±3,1,0,1,van den Bosch+2010
NGC 5128,E,3.62,6,3.49,−24.34,−21.36,2.98,0.898,11.05±0.09,5.69(4.65−6.73)×10e7,56.9,150±7,1,1,0,Cappellari+2009
NGC 3379,E1,10.7,2,6.27,−23.88,−21.01,2.867,0.939,10.91±0.09,4.16(3.12−5.20)×10e8,416,206±10,1,1,1,van den Bosch +2010
NGC 3377,E5,10.99,2,7.16,−23.06,−20.08,2.98,0.83,10.50±0.09,1.78(0.85−2.72)×10e8,178,145±7,1,0,1,Schulze+2011
NGC 4697,E5,12.54,1,6.37,−24.13,−21.33,2.799,0.883,10.97±0.09,2.02(1.52−2.53)×10e8,202,177±8,1,0,1,Schulze+2011
NGC 4473,E5,15.25,1,7.16,−23.77,−20.89,2.874,0.935,10.85±0.09,0.90(0.45−1.35)×10e8,90,190±9,1,0,1,Schulze+2011
NGC 4459,E2,16.01,1,7.15,−23.88,−20.91,2.975,0.909,10.88±0.09,6.96(5.62−8.29)×10e7,69.6,167±8,2,0,0,Sarzi+2001
NGC 4486B,E0,16.26,1,10.39,−20.67,−17.69,2.98,0.991,9.64±0.10,6(4.−9.)×10e8,600,185±9,1,0,0,Kormendy+1997
NGC 4649,E2,16.46,1,5.49,−25.61,−22.63,2.98,0.947,11.64±0.09,4.72(3.67−5.76)×10e9,4720,380±19,1,1,1,Shen+Gebhardt+2010
M 87,E1,16.68,1,5.27,−25.85,−22.87,2.98,0.94,11.72±0.09,6.15(5.78−6.53)×10e9,6150,324+28-12,1,1,1,Gebhardt+2011
NGC 4472,E2,16.72,1,4.97,−26.16,−23.18,2.98,0.94,11.84±0.09,2.54(2.44−3.12)×10e9,2540,300±7,1,1,1,Rusli+2013
NGC 4382,E2,17.88,1,5.76,−25.51,−22.53,2.98,0.863,11.51±0.09,1.30(0.00−22.4)×10e7,13,182±5,1,1,0,G¨ultekin+2011
NGC 4486A,E2,18.36,1,9.49,−21.83,−18.85,2.98,...,10.04±0.09,1.44(0.92−1.97)×10e7,14.4,111±5,1,0,0,Nowak+2007
NGC 4374,E1,18.51,1,5.75,−25.60,−22.62,2.98,0.945,11.62±0.09,9.25(8.38−10.23)×10e8,925,296±14,2,1,0,Walsh+2010
NGC 1374,E0,19.57,1,8.16,−23.30,−20.43,2.874,0.908,10.65±0.09,5.90(5.39−6.51)×10e8,590,167±03,1,0,1,Rusli+2013
NGC 1399,E1,20.85,1,6.31,−25.29,−22.43,2.863,0.948,11.50±0.09,8.81(4.35−17.81)×10e8,881,315±03,1,1,0,see notes
NGC 1316,E4,20.95,1,5.32,−26.29,−23.38,2.91,0.871,11.84±0.09,1.69(1.39−1.97)×10e8,169,226±9,1,0,0,Nowak+2008
NGC 3607,E1,22.65,2,6.99,−24.79,−21.92,2.872,0.911,11.26±0.09,1.37(0.90−1.82)×10e8,137,229±11,1,1,0,G¨ultekin+2009b
NGC 1332,E6,22.66,2,7.05,−24.73,−21.58,3.159,0.931,11.27±0.09,1.47(1.27−1.68)×10e9,1470,328±9,1,0,0,Rusli+2011
NGC 3608,E1,22.75,2,7.62,−24.17,−21.19,2.98,0.921,11.01±0.09,4.65(3.66−5.64)×10e8,465,182±9,1,1,1,Schulze+2011
NGC 2778,E2,23.44,2,9.51,−22.34,−19.39,2.955,0.911,10.26±0.09,1.45(0.00−2.91)×10e7,14.5,175±8,1,0,1,Schulze+2011
NGC 5576,E3,25.68,2,7.83,−24.23,−21.29,2.939,0.862,11.00±0.09,2.73(1.94−3.41)×10e8,273,183±9,1,1,0,G¨ultekin+2009b
NGC 5845,E3,25.87,2,9.11,−22.97,−19.73,3.238,0.973,10.57±0.09,4.87(3.34−6.40)×10e8,487,239±11,1,0,1,Schulze+2011
NGC 4291,E2,26.58,2,8.42,−23.72,−20.76,2.954,0.927,10.85±0.09,9.78(6.70−12.86)×10e8,978,242±12,1,1,1,Schulze+2011
NGC 6861,E4,28.71,2,7.71,−24.60,−21.42,3.179,0.962,11.25±0.09,2.10(2.00−2.73)×10e9,2100,389±3,1,0,1,Rusli+2013
IC 1459,E4,28.92,2,6.81,−25.51,−22.42,3.081,0.966,11.60±0.09,2.48(2.29−2.96)×10e9,2480,331±5,1,0,0,Cappellari+2002
NGC 1407,E0,29,2,6.46,−25.87,−22.89,2.98,0.969,11.74±0.09,4.65(4.24−5.38)×10e9,4650,276±2,1,1,1,Rusli+2013
NGC 4261,E2,32.36,2,6.94,−25.62,−22.64,2.98,0.974,11.65±0.09,5.29(4.21−6.36)×10e8,529,315±15,2,1,0,Ferrarese+1996
NGC 4751,E6,32.81,2,8.24,−24.38,−21.22,3.158,0.983,11.16±0.09,2.44(2.07−2.56)×10e9,2440,355±14,1,0,1,Rusli+2013
NGC 5077,E3,38.7,9,8.22,−24.74,−21.66,2.949,0.987,11.28±0.09,8.55(4.07−12.93)×10e8,855,222±11,2,1,0,De Francesco+2008
A3565 BCG,E,49.2,9,7.5,−25.98,−23.03,2.948,0.956,11.78±0.09,1.30(1.11−1.50)×10e9,1300,322±16,2,1,0,Dalla Bont´a+2009
NGC 1550,E1,52.5,9,8.77,−24.87,−21.89,2.974,0.963,11.33±0.09,3.87(3.16−4.48)×10e9,3870,270±10,1,1,1,Rusli+2013
