id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
1 , 5BZQJ0000-3221 , QSO RLoud flat radio sp. , 0.08496 , -32.35028 , 1.275 ,  , 521 ,  , 18.2 , 0.05 , 
2 , 5BZQJ0001-1551 , QSO RLoud flat radio sp. , 0.27208 , -15.85194 , 2.044 ,  , 348 ,  , 18.1 ,  , 
3 , 5BZQJ0001+1914 , QSO RLoud flat radio sp. , 0.28592 , 19.24283 , 3.1 ,  , 265 ,  , 21.6 ,  , 
4 , 5BZBJ0001-0746 , BL Lac , 0.32504 , -7.77408 ,  ,  , 208 ,  , 17.9 , 0.35 , 5e-10
5 , 5BZBJ0001-0011 , BL Lac , 0.33954 , -0.19442 , 0.462 ,  ?  , 111 ,  , 19.6 ,  , 
6 , 5BZGJ0001-1031 , BL Lac-galaxy dominated , 0.48858 , -10.52147 , 0.252 ,  , 41 ,  , 17.8 ,  , 
7 , 5BZBJ0002-0024 , BL Lac , 0.73817 , -0.41308 , 0.523 ,  , 178 ,  , 19.7 ,  , 
8 , 5BZQJ0003+2129 , QSO RLoud flat radio sp. , 0.83058 , 21.49572 , 0.45 ,  , 83 ,  , 20.1 ,  , 
9 , 5BZBJ0004-1148 , BL Lac , 1.02033 , -11.81611 ,  ,  , 459 , 308 , 18.8 ,  , 
10 , 5BZQJ0004+4615 , QSO RLoud flat radio sp. , 1.06738 , 46.25506 , 1.81 ,  , 120 ,  , 20.4 ,  , 
11 , 5BZQJ0004-4736 , QSO RLoud flat radio sp. , 1.1485 , -47.60542 , 0.884 ,  , 909 ,  , 15.9 , 0.85 , 9e-10
12 , 5BZQJ0004+2019 , QSO RLoud flat radio sp. , 1.14896 , 20.3285 , 0.677 ,  , 55 ,  , 21.6 ,  , 
13 , 5BZQJ0005-1648 , QSO RLoud flat radio sp. , 1.32471 , -16.80131 , 0.78 ,  , 263 ,  , 18.4 , 0.44 , 
14 , 5BZQJ0005+0524 , QSO RLoud flat radio sp. , 1.33421 , 5.40303 , 1.9 ,  , 127 ,  , 16.2 , 0.26 , 
15 , 5BZQJ0005+3820 , QSO RLoud flat radio sp. , 1.48825 , 38.33756 , 0.229 ,  , 572 , 685 , 17.6 , 0.75 , 1e-9
16 , 5BZBJ0006-0623 , BL Lac , 1.55788 , -6.39311 , 0.347 ,  , 2051 , 1212 , 17.9 , 0.82 , 
17 , 5BZQJ0006-4245 , QSO RLoud flat radio sp. , 1.58221 , -42.75517 , 1.77 ,  ?  , 246 ,  , 18.5 ,  , 
18 , 5BZGJ0006+1051 , BL Lac-galaxy dominated , 1.58454 , 10.86436 , 0.168 ,  , 12 ,  , 15.6 , 1.72 , 
19 , 5BZQJ0006+2422 , QSO RLoud flat radio sp. , 1.70329 , 24.37681 , 1.684 ,  , 184 ,  , 18.8 ,  , 
20 , 5BZQJ0007-6113 , QSO RLoud flat radio sp. , 1.83575 , -61.21842 , 0.857 ,  , 87 ,  , 19.3 ,  , 
21 , 5BZBJ0007+4712 , BL Lac , 1.99988 , 47.20214 , 0.28 ,  ?  , 60 ,  , 18.2 , 0.53 , 2.1e-9
22 , 5BZQJ0008-2339 , QSO RLoud flat radio sp. , 2.00154 , -23.65497 , 1.412 ,  , 375 ,  , 15.8 , 0.3 , 
23 , 5BZBJ0008-2339 , BL Lac , 2.14742 , -23.65772 , 0.147 ,  , 36 ,  , 16.8 , 2.42 , 3e-10
24 , 5BZQJ0008-4619 , QSO RLoud flat radio sp. , 2.15642 , -46.328 , 1.85 ,  , 109 ,  , 16.6 ,  , 
25 , 5BZBJ0009+0628 , BL Lac , 2.26633 , 6.47261 ,  ,  , 247 ,  , 18.9 , 0.55 , 5e-10
26 , 5BZQJ0009+0625 , QSO RLoud flat radio sp. , 2.32104 , 6.43186 , 2.694 ,  , 180 ,  , 19 , 0.08 , 5e-10
27 , 5BZBJ0009+5030 , BL Lac , 2.34488 , 50.50794 ,  ,  , 12 ,  , 19.4 , 0.24 , 2.2e-9
28 , 5BZQJ0010+2047 , QSO RLoud flat radio sp. , 2.61979 , 20.79725 , 0.6 ,  , 159 ,  , 19.3 , 0.51 , 
29 , 5BZQJ0010+1058 , QSO RLoud flat radio sp. , 2.62917 , 10.97489 , 0.089 ,  , 98 , 1404 , 15.8 , 6.14 , 
30 , 5BZQJ0010+1724 , QSO RLoud flat radio sp. , 2.64163 , 17.40528 , 1.601 ,  , 918 ,  , 16.7 , 0.65 , 
31 , 5BZQJ0010-3027 , QSO RLoud flat radio sp. , 2.64883 , -30.46317 , 1.19 ,  , 315 ,  , 18.8 , 0.17 , 
32 , 5BZQJ0010-2945 , QSO RLoud flat radio sp. , 2.68825 , -29.75367 , 2.344 ,  , 404 ,  , 18.8 ,  , 
33 , 5BZQJ0011-2612 , QSO RLoud flat radio sp. , 2.75508 , -26.20889 , 1.096 ,  , 210 ,  , 18.8 ,  , 
34 , 5BZQJ0011-3620 , QSO RLoud flat radio sp. , 2.81133 , -36.34428 , 2.324 ,  , 66 ,  , 21.3 , 0.02 , 
35 , 5BZQJ0011+0057 , QSO RLoud flat radio sp. , 2.87667 , 0.96444 , 1.492 ,  , 167 ,  , 20.7 , 0.28 , 5e-10
36 , 5BZGJ0012-1628 , BL Lac-galaxy dominated , 3.14108 , -16.46869 , 0.151 ,  , 94 ,  , 15 , 0.9 , 
37 , 5BZQJ0012+3353 , QSO RLoud flat radio sp. , 3.19733 , 33.89406 , 1.682 ,  , 81 ,  , 20.4 ,  , 
38 , 5BZBJ0012-3954 , BL Lac , 3.2495 , -39.90717 ,  ,  , 494 , 257 , 18.9 ,  , 5e-10
39 , 5BZQJ0013-1513 , QSO RLoud flat radio sp. , 3.33625 , -15.22978 , 1.838 ,  , 117 ,  , 19.2 ,  , 
40 , 5BZQJ0013-0423 , QSO RLoud flat radio sp. , 3.47546 , -4.39781 , 1.075 ,  , 303 ,  , 19.7 , 0.3 , 
41 , 5BZGJ0013-1854 , BL Lac-galaxy dominated , 3.4835 , -18.90181 , 0.095 ,  , 29 ,  , 13.4 , 6.49 , 
42 , 5BZBJ0013+1910 , BL Lac , 3.48483 , 19.17833 , 0.477 ,  , 161 ,  , 17.7 ,  , 
43 , 5BZBJ0014-5022 , BL Lac , 3.54763 , -50.37636 ,  ,  , 13 ,  , 18.7 , 6.98 , 6e-10
44 , 5BZGJ0014+0854 , BL Lac-galaxy dominated , 3.58233 , 8.90039 , 0.162 ,  , 324 ,  , 17.2 , 0.67 , 
45 , 5BZQJ0014-3059 , QSO RLoud flat radio sp. , 3.65813 , -30.98867 , 2.785 ,  , 193 ,  , 19.3 , 0.12 , 
46 , 5BZBJ0014+5802 , BL Lac , 3.67554 , 58.03367 ,  ,  , 8 ,  , 19 , 1.28 , 
47 , 5BZQJ0015-1812 , QSO RLoud flat radio sp. , 3.76033 , -18.21408 , 0.743 ,  , 387 ,  , 19.6 , 0.48 , 
48 , 5BZBJ0015+3536 , BL Lac , 3.86654 , 35.611 ,  ,  , 11 ,  , 19.8 , 1.42 , 
49 , 5BZQJ0015+1700 , QSO RLoud flat radio sp. , 3.91658 , 17.01139 , 1.709 ,  , 135 ,  , 21 ,  , 5e-10
50 , 5BZQJ0016-0015 , QSO RLoud flat radio sp. , 4.04621 , -0.25344 , 1.577 ,  , 1086 ,  , 19.9 , 0.23 , 4e-10
51 , 5BZQJ0017+8135 , QSO RLoud flat radio sp. , 4.28525 , 81.58561 , 3.387 ,  , 693 ,  , 15.9 , 0.77 , 
52 , 5BZQJ0017-0512 , QSO RLoud flat radio sp. , 4.39921 , -5.21156 , 0.227 ,  , 174 ,  , 17.6 , 0.8 , 1.4e-9
