Source_Name,DataRelease,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,Unc_PLEC_Exp_Index,PLEC_SigCurv,Npred,Flux_Band.0,Flux_Band.1,Flux_Band.2,Flux_Band.3,Flux_Band.4,Flux_Band.5,Flux_Band.6,Unc_Flux_Band.0_0,Unc_Flux_Band.0_1,Unc_Flux_Band.1_0,Unc_Flux_Band.1_1,Unc_Flux_Band.2_0,Unc_Flux_Band.2_1,Unc_Flux_Band.3_0,Unc_Flux_Band.3_1,Unc_Flux_Band.4_0,Unc_Flux_Band.4_1,Unc_Flux_Band.5_0,Unc_Flux_Band.5_1,Unc_Flux_Band.6_0,Unc_Flux_Band.6_1,nuFnu_Band.0,nuFnu_Band.1,nuFnu_Band.2,nuFnu_Band.3,nuFnu_Band.4,nuFnu_Band.5,nuFnu_Band.6,Sqrt_TS_Band.0,Sqrt_TS_Band.1,Sqrt_TS_Band.2,Sqrt_TS_Band.3,Sqrt_TS_Band.4,Sqrt_TS_Band.5,Sqrt_TS_Band.6,Variability_Index,Frac_Variability,Unc_Frac_Variability,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Flux_History.0,Flux_History.1,Flux_History.2,Flux_History.3,Flux_History.4,Flux_History.5,Flux_History.6,Flux_History.7,Flux_History.8,Flux_History.9,Unc_Flux_History.0_0,Unc_Flux_History.0_1,Unc_Flux_History.1_0,Unc_Flux_History.1_1,Unc_Flux_History.2_0,Unc_Flux_History.2_1,Unc_Flux_History.3_0,Unc_Flux_History.3_1,Unc_Flux_History.4_0,Unc_Flux_History.4_1,Unc_Flux_History.5_0,Unc_Flux_History.5_1,Unc_Flux_History.6_0,Unc_Flux_History.6_1,Unc_Flux_History.7_0,Unc_Flux_History.7_1,Unc_Flux_History.8_0,Unc_Flux_History.8_1,Unc_Flux_History.9_0,Unc_Flux_History.9_1,Sqrt_TS_History.0,Sqrt_TS_History.1,Sqrt_TS_History.2,Sqrt_TS_History.3,Sqrt_TS_History.4,Sqrt_TS_History.5,Sqrt_TS_History.6,Sqrt_TS_History.7,Sqrt_TS_History.8,Sqrt_TS_History.9,ASSOC_FGL,ASSOC_FHL,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,CLASS2,ASSOC1,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Flags
4FGL J0000.3-7355,1,0.0983,-73.9220,307.7090,-42.7295,0.0324,0.0315,-62.700,0.0525,0.0510,-62.700,1137,,6.905,2197.60,1.4206e-10,2.6056e-11,1.6225e-12,3.1334e-13,PowerLaw,3.0262e-14,5.5501e-15,2.1941,0.1570,2.7336e-14,7.4173e-15,2.3002,0.1872,-0.0590,0.0857,0.423,3.2172e-14,6.6236e-15,1.9427,0.3714,0.00105,0.00154,0.6667,nan,0.765,267.97,2.275814381391683e-08,2.4503054099622723e-11,4.456742197511687e-10,1.1044110070912438e-10,3.4281941868608e-11,8.030214514176404e-12,2.2907993352998344e-15,-1.6910384204038564e-08,1.7288495968159623e-08,nan,1.7989246758887134e-09,-1.7272570873583248e-10,1.7754775427647473e-10,-3.106841173217134e-11,3.341464951955864e-11,-1.087749681993877e-11,1.2675567193087822e-11,-3.638744253825488e-12,5.4514340090683344e-12,nan,3.1109626593556206e-12,3.6179108754003098e-12,5.777097584222599e-15,2.9910831298753104e-13,2.6038755028025273e-13,2.3007867854842046e-13,1.893287772652269e-13,1.1325400928540412e-16,1.3471007347106934,0.0,2.6937789916992188,4.206161022186279,4.476462364196777,3.887622356414795,0.0,14.0229,0.3815,0.3453,nan,nan,nan,nan,nan,5.801502399142844e-13,2.475199378793036e-09,2.3723689679400195e-09,4.081305959857673e-09,2.0386567989305604e-09,3.754544231071577e-09,3.794648595345507e-09,2.5375623824430704e-09,1.3942109966524896e-10,1.4444010223990666e-12,nan,1.3420392575014262e-09,-1.4818718474529646e-09,1.6460145468855103e-09,-1.0371700165379139e-09,1.3172163360053446e-09,-1.3244859653482877e-09,1.4800030090356131e-09,-1.2037317809188153e-09,1.471599397895318e-09,-1.4964227634806093e-09,1.7421353248892046e-09,-1.4485139754327747e-09,1.6446258799263092e-09,-1.1040669489759125e-09,1.3107424035041504e-09,nan,1.4441147166976975e-09,nan,1.3903581619345573e-09,0.0,1.756816029548645,3.5647177696228027,4.0107903480529785,2.1309814453125,3.539316177368164,3.191277503967285,2.9994957447052,0.11416628956794739,0.0,,,,,,N,,,,,,0.0000,0.0000,nan,nan,nan,0
4FGL J0000.5+0743,2,0.1375,7.7273,101.6565,-53.0295,0.0945,0.0700,-10.220,0.1533,0.1135,-10.220,701,,5.369,1025.42,1.7304e-10,3.6658e-11,2.2716e-12,4.3916e-13,PowerLaw,2.2733e-13,4.3101e-14,2.3933,0.1382,3.1008e-13,6.7500e-14,1.8390,0.3862,0.4828,0.2649,2.536,2.9344e-13,6.2514e-14,1.0256,0.6050,0.01234,0.00574,0.6667,nan,2.583,359.92,3.9122836914540216e-12,7.095017351410604e-10,6.32664309829778e-10,2.0806349698698767e-10,3.5818379512386755e-11,2.41223336675e-16,5.521269917229277e-16,nan,1.3832083922693528e-08,nan,2.221293371462707e-09,-2.3218726941109935e-10,2.397365639339455e-10,-4.7436200800721195e-11,5.063634928026417e-11,-1.502299847022659e-11,1.793560786000903e-11,nan,4.7848456967425346e-12,nan,3.929803964880518e-12,6.170843602610839e-16,1.6409540826850533e-13,4.1499410245032786e-13,4.812146774807458e-13,2.349495110184202e-13,5.57907680568028e-18,2.5342158718858473e-17,0.0,0.3104498088359833,2.859363317489624,5.293778896331787,3.088613748550415,0.0,0.0,17.7172,0.5318,0.2909,nan,nan,nan,nan,nan,1.3858104663810877e-09,1.29034383546979e-13,4.230752637113255e-09,5.731251029317264e-09,1.983046393760901e-09,3.243531443430925e-09,4.806888220798555e-09,7.287357828289487e-09,1.1794682563959213e-08,1.961460771582324e-09,-1.1424142742910703e-09,1.594715248742773e-09,nan,2.4841921852924997e-09,-2.4096145079255393e-09,2.733003379162824e-09,-2.8226501136430215e-09,3.0836415643165083e-09,-1.8845491833729966e-09,2.2860282555825506e-09,-2.2167239155379548e-09,2.6614488390919178e-09,-2.6829176658083043e-09,2.8915327909828648e-09,-2.6808530950717113e-09,2.8873183843813877e-09,-2.842256652257902e-09,2.981332070106646e-09,nan,2.8801370177689023e-09,1.3204408884048462,0.0,1.8595154285430908,2.107783317565918,1.0601825714111328,1.5582400560379028,1.939687728881836,2.984802484512329,4.885406970977783,0.7009694576263428,,,,,,N,,,,,,0.0000,0.0000,nan,nan,nan,0
4FGL J0001.2+4741,1,0.3126,47.6859,114.2502,-14.3381,0.0369,0.0332,-45.900,0.0598,0.0538,-45.900,896,,4.092,2514.94,1.2159e-10,3.2067e-11,1.4068e-12,4.0795e-13,PowerLaw,1.9206e-14,5.0458e-15,2.2222,0.1976,1.8935e-14,6.1775e-15,2.2337,0.2165,-0.0085,0.0997,0.084,1.9272e-14,5.2798e-15,2.2123,0.2572,0.00003,0.00066,0.6667,nan,0.000,222.48,6.225708282237008e-10,5.0225410636040024e-11,3.889122912603682e-10,1.1311605124797453e-10,1.4229424930012335e-11,5.9788896923651524e-12,2.158058887841152e-12,nan,2.454478043034669e-08,nan,2.5306350348586193e-09,-2.3356092060389244e-10,2.485122663209438e-10,-3.876399201629965e-11,4.1954030527424635e-11,-1.0662724175825034e-11,1.3028311068863374e-11,-3.4139013230932713e-12,5.071719086369164e-12,-1.5499736910618012e-12,2.982064465154033e-12,9.886168083174732e-14,1.1809386713695132e-14,2.601646112085354e-13,2.659672070255692e-13,9.518837676631212e-14,1.4058026932221163e-13,1.0554674945454853e-13,0.0,0.0,1.676529049873352,3.2513716220855713,1.3962098360061646,2.531282663345337,2.2599852085113525,20.0187,0.6928,0.4070,nan,nan,nan,nan,nan,3.238107337821816e-09,6.265438834418546e-09,5.348184117792698e-09,7.955758312338732e-14,6.516738188709842e-15,3.002975065878946e-14,3.403460402395808e-09,1.1556166024107029e-09,2.0116395216263072e-09,3.7488209151531615e-13,-1.7942570762485843e-09,2.0774948428226025e-09,-1.8782995159227767e-09,2.1424657603574815e-09,-1.9150088181874025e-09,2.1906274572103257e-09,nan,1.3167836820926482e-09,nan,1.6244933176423615e-09,nan,2.3319166597701724e-09,-1.9609092127836902e-09,2.3040045427080713e-09,nan,1.620716894024099e-09,-1.298665397442278e-09,1.6936005931000864e-09,nan,1.819239647815607e-09,1.9554939270019531,4.628576278686523,3.715240716934204,0.0,0.0,0.0,1.904766321182251,0.8971991539001465,1.895650863647461,0.0,,,,,,N,,bcu,,B3 2358+474,,0.9961,0.9386,0.3293,47.7002,0.00000,0
4FGL J0001.2-0747,1,0.3151,-7.7971,89.0327,-67.3050,0.0184,0.0176,64.100,0.0299,0.0285,64.100,744,,23.369,1612.61,8.2321e-10,5.6777e-11,9.1714e-12,6.1731e-13,PowerLaw,3.3466e-13,2.2101e-14,2.1049,0.0500,3.5833e-13,2.7583e-14,2.0719,0.0636,0.0488,0.0322,1.625,3.5505e-13,2.6432e-14,1.9449,0.1138,0.00100,0.00069,0.6667,nan,1.871,1084.60,8.06674171904831e-12,7.926722389584029e-09,2.2848181124857092e-09,5.466662122977084e-10,2.223310424653846e-10,3.1666242544803325e-11,1.1210379846637863e-11,nan,2.069834614815136e-08,-1.759540735335463e-09,1.7635640725544022e-09,-3.089907218978283e-10,3.1953120704919513e-10,-5.997127794366008e-11,6.283897707737296e-11,-2.892941962373552e-11,3.125665351544349e-11,-9.246095208914618e-12,1.1284954741508368e-11,-5.5435790506652705e-12,7.297830742492017e-12,1.2869172737959558e-15,1.8852217963799545e-12,1.549441456215328e-12,1.3001427191794424e-12,1.5077300302354657e-12,7.531219571588199e-13,5.738858281818804e-13,0.0,3.3020408153533936,8.23735237121582,13.629745483398438,14.901742935180664,7.358693599700928,3.956632614135742,33.2287,0.3328,0.1084,10.328,1.6972942162851723e-08,2.295388989992375e-09,349790016.0,31560000.0,9.068161332947966e-09,4.833521582980893e-09,7.742151808542985e-09,1.6972942162851723e-08,1.0866280319987709e-08,1.164832141853367e-08,1.0209840972663642e-08,1.1250119058558994e-08,1.6669735813934494e-08,5.319057638786262e-09,-1.648304936985312e-09,1.7639110172495975e-09,-1.8248067501502874e-09,2.046385949583396e-09,-1.8604805473998454e-09,2.041027125088135e-09,-2.295388989992375e-09,2.315844405131884e-09,-2.253734088242254e-09,2.4415724997339794e-09,-2.407521071390306e-09,2.58698218402742e-09,-2.2763935181302486e-09,2.434361601189039e-09,-2.110583263714716e-09,2.226695272611323e-09,-2.2406800859187115e-09,2.3469743926085584e-09,-1.5691885568713815e-09,1.803827642810063e-09,8.181410789489746,3.178417205810547,6.163930416107178,10.328232765197754,7.420156955718994,6.098453521728516,6.526945114135742,7.0286383628845215,11.211565017700195,5.432032108306885,3FGL J0001.2-0748,3FHL J0001.2-0748,,,,N,,bll,,PMN J0001-0746,,0.9970,0.9329,0.3251,-7.7741,0.00000,0
4FGL J0001.5+2113,1,0.3815,21.2183,107.6494,-40.1677,0.0260,0.0240,-60.520,0.0422,0.0389,-60.520,1092,,44.135,355.78,1.3591e-09,6.8599e-11,2.6142e-11,7.8954e-13,LogParabola,3.9051e-11,1.0993e-12,2.6593,0.0231,4.5327e-11,1.4992e-12,2.5482,0.0333,0.1588,0.0235,7.325,4.3876e-11,1.4050e-12,2.2009,0.0723,0.00905,0.00143,0.6667,nan,7.447,5038.07,8.164006715105643e-08,4.92456635470262e-08,1.0904078528994887e-08,1.392799764410313e-09,8.216508723402072e-11,8.145643215014709e-17,8.203136899798575e-17,-3.22847242273383e-08,3.2391813675758385e-08,-3.632248057883203e-09,3.632248057883203e-09,-4.357816052458219e-10,4.357816052458219e-10,-8.805045581539162e-11,8.805045581539162e-11,-1.7786773789940646e-11,2.039735567949119e-11,nan,6.761369242269666e-12,nan,5.46028803768972e-12,1.3060481515725364e-11,1.14705042339458e-11,6.923716808215907e-12,3.0328593369349788e-12,4.842482751593602e-13,1.6711343799770994e-18,2.4384250482297565e-18,2.5327820777893066,14.744965553283691,32.569881439208984,25.282535552978516,7.022027015686035,0.0,0.0,1564.4176,1.0546,0.2498,36.890,2.0007243506370287e-07,6.8413013032397885e-09,476030016.0,31560000.0,3.538167536731862e-09,2.3139389071502592e-08,2.2915740416351582e-08,2.6789756191192282e-08,2.2573528823954803e-08,3.930240666250029e-08,5.592611884708276e-08,2.0007243506370287e-07,9.40172810715012e-08,1.9309729282213084e-07,-2.788374198203769e-09,3.0076194867945105e-09,-3.588797703457658e-09,3.6920606572010684e-09,-3.842935303310924e-09,4.077359783138945e-09,-4.095397798664635e-09,4.24489554617935e-09,-3.977748352923527e-09,4.105598971904101e-09,-5.020787341436517e-09,5.167691607965708e-09,-5.308080197607978e-09,5.308080197607978e-09,-6.8413013032397885e-09,6.8413013032397885e-09,-5.370579980734647e-09,5.370579980734647e-09,-7.18623249795769e-09,7.18623249795769e-09,1.2743847370147705,7.156180381774902,6.506211757659912,7.320433139801025,6.270307540893555,9.15692138671875,12.430719375610352,36.889888763427734,21.471317291259766,33.75129699707031,3FGL J0001.4+2120,,,3EG J2359+2041,,N,,fsrq,,TXS 2358+209,,0.9980,0.9582,0.3849,21.2267,0.00000,0
4FGL J0001.6-4156,1,0.4165,-41.9425,334.2263,-72.0285,0.0427,0.0324,44.090,0.0692,0.0525,44.090,588,,15.611,4009.38,3.0487e-10,3.4296e-11,3.9125e-12,4.7993e-13,PowerLaw,2.0757e-14,2.3123e-15,1.7559,0.0744,2.3474e-14,3.1245e-15,1.6676,0.1073,0.0698,0.0494,1.480,2.2537e-14,2.7535e-15,1.5633,0.1441,0.00051,0.00037,0.6667,nan,1.542,295.80,4.936490799467563e-11,1.3490796257897841e-09,2.9023189407340055e-10,1.667764398805005e-10,9.378162135753598e-11,3.600754069910117e-11,2.182729864907973e-11,nan,1.0178236919955452e-08,-1.2789952430480866e-09,1.2660636983241602e-09,-1.3074243077060288e-10,1.3926229613936414e-10,-3.354877139982726e-11,3.640600668153304e-11,-1.7173491795308138e-11,1.916708979032844e-11,-9.311690307711729e-12,1.1060484993163922e-11,-6.84831488392823e-12,8.458634834229706e-12,7.985484425402853e-15,3.321288827729668e-13,2.0512832697629907e-13,4.1058565510183886e-13,6.628240165930388e-13,8.86466843940531e-13,1.290515871249509e-12,0.0,1.0525996685028076,2.3404624462127686,6.778171062469482,10.227590560913086,7.984500885009766,6.52883768081665,16.1490,0.3280,0.1721,nan,nan,nan,nan,nan,2.4941326781657835e-09,3.3103784158328153e-09,1.3416640021191029e-09,1.236936220117002e-09,1.5800808439436764e-09,8.229850689822626e-10,9.467460149181761e-10,1.163333429587965e-09,3.0191407152102556e-09,2.257481090950364e-09,-7.192917927945075e-10,8.311751842349224e-10,-7.509470267841323e-10,8.327232792204597e-10,-5.17191844906506e-10,6.209965319747823e-10,-5.247087764281844e-10,6.426192356023819e-10,-5.812579861874667e-10,6.948071562540292e-10,-4.3808434657677253e-10,5.857913043527674e-10,-5.266927449731895e-10,6.718642864278479e-10,-4.6542419918083056e-10,5.70724856263638e-10,-7.180617767055253e-10,8.137756024595433e-10,-5.994058582814432e-10,6.963249421509943e-10,5.001379013061523,6.912777900695801,3.6719512939453125,3.333031415939331,3.9417662620544434,2.621619462966919,2.125431537628174,3.9372763633728027,7.839071750640869,7.140161514282227,3FGL J0002.2-4152,3FHL J0001.9-4155,,,,N,,bcu,,2MASS J00013275-4155252,,0.9963,0.8546,0.3865,-41.9237,0.00007,2
4FGL J0002.1-6728,1,0.5378,-67.4746,310.0849,-48.9635,0.0217,0.0192,52.510,0.0352,0.0311,52.510,698,,13.141,3689.19,2.4169e-10,3.0690e-11,2.8883e-12,3.7892e-13,PowerLaw,1.8745e-14,2.3548e-15,1.8465,0.0849,2.3711e-14,3.5170e-15,1.6779,0.1409,0.1637,0.0771,2.545,2.2562e-14,3.1364e-15,1.3357,0.2153,0.00175,0.00076,0.6667,nan,2.640,291.01,1.0089871160801067e-08,1.7492363113547071e-10,2.8728194823024467e-10,1.4472079090666057e-10,7.42372066597774e-11,2.9032817816521117e-11,6.008455018247094e-12,nan,1.3095435846821601e-08,nan,1.5873572456470697e-09,-1.4698808836755006e-10,1.5425689892101246e-10,-3.0642981208028885e-11,3.320650004967618e-11,-1.501402474568536e-11,1.6776371958293623e-11,-7.652996292240033e-12,9.153051580557126e-12,-2.9336990736011925e-12,4.301183974958489e-12,1.6262963198343527e-12,4.2677714389826454e-14,2.0086064972738016e-13,3.530884894360764e-13,5.190487254412568e-13,7.083400706264786e-13,3.418907951885375e-13,0.4331665635108948,0.16478019952774048,1.9996265172958374,6.129240989685059,8.22835636138916,8.23282527923584,4.153337478637695,13.4791,0.3066,0.1921,nan,nan,nan,nan,nan,1.7362626891781474e-09,2.149255884376089e-09,1.4708475548630418e-09,9.579701476525315e-10,3.694425654288125e-09,2.7794022638971683e-09,1.0664419347605758e-09,6.317892320417684e-10,1.6872974129000795e-09,2.035704493863477e-09,-6.762482795963365e-10,8.351395686112539e-10,-6.728989032644961e-10,7.867309581577331e-10,-6.076674718968889e-10,7.211778951798919e-10,-6.438161670452303e-10,7.665961199165849e-10,-9.005220458213614e-10,1.0033869290992925e-09,-7.749650365873606e-10,8.92904750138257e-10,-5.341048714413432e-10,6.869115276586513e-10,-4.065879855019716e-10,5.584468443231572e-10,-6.450069922614432e-10,7.669431756340828e-10,-6.065164481761087e-10,7.001090818192779e-10,4.324962615966797,5.7533860206604,3.1357789039611816,1.5899944305419922,6.000019550323486,6.920968055725098,2.9661262035369873,1.909766674041748,3.6588943004608154,5.110576152801514,3FGL J0002.0-6722,3FHL J0002.1-6728,,,,N,,bcu,,SUMSS J000215-672653,,0.9966,0.9045,0.5633,-67.4482,0.00002,0
4FGL J0002.1+6721c,1,0.5419,67.3578,118.2035,4.9395,0.0956,0.0685,-82.100,0.1550,0.1111,-82.100,596,,7.332,1222.95,6.6180e-10,9.6672e-11,6.1590e-12,1.5413e-12,LogParabola,4.9280e-13,7.6457e-14,2.6199,0.0922,7.1776e-13,1.0195e-13,2.6150,0.2038,0.3504,0.1336,3.957,7.0418e-13,1.2190e-13,1.5301,0.5639,0.01212,0.00610,0.6667,nan,3.857,934.70,5.978320505306556e-09,1.3249438879370246e-08,2.2594319748492353e-09,5.971823591188752e-10,7.205327307024945e-11,2.0750391457431685e-17,1.8847638482287797e-16,nan,4.1395839645019805e-08,-9.336542206028753e-09,7.710197813537434e-09,-7.873659502166674e-10,7.97849120104388e-10,-1.079948144799836e-10,1.108779942859961e-10,-2.3367367069093703e-11,2.6067229971782346e-11,nan,5.4939885106575215e-12,nan,3.0716683536990974e-12,1.011881442351814e-12,3.4327499610214973e-12,1.5417657385149997e-12,1.3226896791382337e-12,4.150729781583762e-13,4.0577693915609693e-19,5.238847493569869e-18,0.14487005770206451,1.3600929975509644,2.932408332824707,6.010202407836914,3.4866628646850586,0.0,0.0,8.4729,0.0000,10.0000,nan,nan,nan,nan,nan,1.7221820414192734e-08,1.679213390559653e-08,1.0795486282688671e-08,1.028981611028712e-08,1.552428940954087e-08,7.852064776159295e-09,6.496231996777624e-09,6.3916862913515615e-09,9.371287745807422e-09,1.1964350399296109e-08,-4.869418646080703e-09,4.996977054361196e-09,-4.081563087510176e-09,4.081367688257842e-09,-3.849204066597167e-09,4.010031862122787e-09,-3.934218284484814e-09,3.9696637088582065e-09,-3.844038864997401e-09,3.926140745846851e-09,-4.391011998450267e-09,4.311191847961027e-09,-4.145025656043799e-09,4.245482632114772e-09,-3.695945105519627e-09,3.807377524367439e-09,-4.320372948285467e-09,4.028812838896556e-09,-4.051095459089993e-09,4.221829996708948e-09,3.756953001022339,4.218405723571777,2.963120460510254,2.7570302486419678,4.308750152587891,1.853880763053894,1.607326865196228,1.770158290863037,2.2973625659942627,3.138800621032715,,,,,,N,,unk,,1RXS J000209.4+672503,,0.0000,0.9531,0.5392,67.4176,0.00045,41
4FGL J0002.3-0815,2,0.5937,-8.2652,89.0434,-67.8483,0.0418,0.0334,56.690,0.0677,0.0541,56.690,744,,5.013,3959.91,1.1693e-10,3.3293e-11,1.3098e-12,3.6248e-13,PowerLaw,7.5640e-15,2.0783e-15,1.9896,0.1805,9.5101e-15,2.9808e-15,1.9282,0.2658,0.1501,0.1556,1.206,8.7783e-15,2.6245e-15,1.6707,0.3852,0.00122,0.00142,0.6667,nan,0.938,130.12,1.5125099395163488e-08,2.0805072278146618e-14,2.417398503595791e-10,8.748850255368978e-11,3.6351047172367146e-11,2.1233936494286258e-15,6.027768995747751e-12,nan,1.5003861264517582e-08,nan,1.953256223430344e-09,nan,2.416387923087626e-10,-3.5227869232823394e-11,4.028714861714633e-11,-1.3319186899229951e-11,1.6162075150427668e-11,nan,5.012773616336341e-12,-3.2797566745790263e-12,5.568161817043338e-12,2.4240329795505167e-12,5.004541967619324e-18,1.6617357988767123e-13,2.10448642561957e-13,2.4987954413968616e-13,5.107702639661017e-17,3.232366360250011e-13,0.49868112802505493,0.0,0.9482481479644775,2.9689013957977295,3.9644646644592285,0.0,3.644303798675537,11.5246,0.3123,0.7206,nan,nan,nan,nan,nan,7.317082703628408e-12,1.8208607954761646e-09,3.4362703793533456e-09,2.74287255234984e-12,3.4702343221226783e-09,9.256363453502559e-10,1.0437989361733457e-09,1.4432009406983859e-11,8.982343202568188e-10,1.5915404549815548e-09,nan,9.155211588840473e-10,-1.4180243645967039e-09,1.6291877846796865e-09,-1.395767612599741e-09,1.5847837486759886e-09,nan,1.4158122452201383e-09,-1.4148874294406255e-09,1.6542316405576685e-09,-7.543191626879775e-10,1.184790154873383e-09,-7.71874619776014e-10,1.128589555143833e-09,nan,1.2786279812715406e-09,-5.870464114821061e-10,8.936654194435789e-10,-1.024115015013649e-09,1.2170501273445211e-09,0.0,1.3361903429031372,2.883664846420288,0.0,3.922693967819214,1.3626095056533813,1.5732359886169434,0.0,2.337545156478882,1.6817291975021362,,,,,,N,,bcu,,WISEA J000236.06-081532.4,,0.9809,0.0000,0.6503,-8.2590,0.00450,0
4FGL J0002.4-5156,2,0.6131,-51.9355,319.9995,-63.5390,0.0965,0.0598,15.000,0.1564,0.0970,15.000,900,,4.299,4530.31,7.6218e-11,2.2970e-11,8.8392e-13,2.5398e-13,PowerLaw,3.9547e-15,1.1358e-15,1.8972,0.1941,6.3657e-15,2.2518e-15,1.3497,0.5442,0.6415,0.4999,1.966,5.6962e-15,1.9771e-15,0.3860,1.2825,0.00547,0.00520,0.6667,nan,1.942,92.54,2.2733852300671487e-10,2.3224684397860074e-09,8.424169695153694e-11,1.1005128232322026e-11,3.11064264624239e-11,9.277251709904899e-12,1.7288318324330614e-15,nan,1.9515454141583177e-08,-2.1044510578605014e-09,1.928007309359714e-09,nan,1.4989345875626725e-10,nan,2.6224506941008308e-11,-1.020035791943208e-11,1.2262370806259693e-11,-4.527091809064521e-12,6.341222252154166e-12,nan,3.9530505605012145e-12,3.6568756920166146e-14,5.637891954506091e-13,5.854575179688182e-14,2.6715420850466527e-14,2.1618142931160989e-13,2.2520925554124493e-13,9.630983647707599e-17,0.0,1.1049976348876953,0.5464096665382385,0.48633697628974915,4.662590503692627,3.1042370796203613,0.0,18.1410,0.7424,0.5368,nan,nan,nan,nan,nan,6.653106954246368e-10,1.4368160827782361e-10,1.8303417115284049e-10,1.5052145085903135e-09,5.281113879540555e-10,1.018718690607985e-15,3.091719385389137e-14,7.872253404705987e-10,6.970161427199972e-12,2.5851503160367884e-09,-5.02661967605178e-10,7.144024816163608e-10,nan,5.776968903248303e-10,nan,5.407367331677904e-10,-8.307388110750935e-10,9.599216976852176e-10,-4.669035158499923e-10,6.980369060549663e-10,nan,7.455498440833708e-10,nan,5.594656959928557e-10,-5.492010179963813e-10,7.041348615288712e-10,nan,9.231346242977168e-10,-7.721038253194479e-10,9.01802077457603e-10,1.5024055242538452,0.39912864565849304,0.6639128923416138,2.0452611446380615,1.1977849006652832,0.0,0.0,1.5631036758422852,0.0,5.228590965270996,,,,,,N,,bcu,,WISE J000229.20-515227.4,,0.9797,0.0000,0.6217,-51.8743,0.00450,0
