2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
00031064-5444562,PKS 0000-550,0.79429,-54.74892,317.34479,-61.00824,10.339,0.04,0.032579364,0.032843083,0.000500347,140.1919678,2.135749989,-3,1,0,0,0,1549,54.8,1320.420783,3.41557E+40,0.013916667,0.013916667,0,0.001666361,0.001666361,0,0.788827704,-54.74786129,0.788827704,-54.74786129,j
00031298-3556132,ESO 349- G 022,0.80408,-35.93708,349.28857,-76.48599,10.939,0.08,0.049761334,0.051118115,0.000500347,221.1250459,2.16438395,-2,1,3,613.6,17.51256692,1123.4,40.6,957.6247307,6.16276E+40,0.038888889,0.023083333,0,0.020285788,0.000368509,0,0.807664937,-35.94010836,0.796290184,-35.93498553,j
00033830+5146404,MCG +09-01-002,0.90966,51.77794,115.4481,-10.39776,10.455,0.045,0.043186753,0.045201158,0.000500347,194.6958833,2.15515449,-2,0,3,494.8,11.21695146,0,0,571.8352209,2.85291E+40,0.058611111,0.024305556,0,0.036607041,0.013237682,0.007533704,0.895589888,51.77158637,0.895672579,51.77575275,u
00093552-3216365,IC 1531,2.39809,-32.27686,0.87292,-79.56383,9.706,0.038,0.025457736,0.025886337,0.000500347,109.9277407,2.124750325,-2,1,2,432.9,12.57179383,558.8,16.9,500.2980338,7.95697E+39,0.040472222,0.03525,0,0.068478428,0.000724417,0,2.424351407,-32.29566182,2.405110407,-32.27451062,j
00095929-5701148,NGC 0025,2.49699,-57.02082,313.95953,-59.21114,9.975,0.043,0.031571995,0.031759947,0.000500347,135.4600789,2.134041001,-3,1,0,0,0,618.6,23.9,527.315879,1.2735E+40,0.019305556,0.019305556,0,0.001496293,0.001496293,0,2.492980564,-57.01862441,2.48736958,-57.01873452,j
00112171+5231437,2MASX J00112171+5231437,2.84041,52.52882,116.76483,-9.86226,11.736,0.07,0.104322678,0.111467543,0.000500347,502.6523426,2.256266951,98,0,2,434,14.14107492,0,0,501.5692924,1.6679E+41,0.0205,0.012305556,0,0.027448469,0.001115099,0,2.826700315,52.5370659,2.840695516,52.53326597,j
00145360-3911478,NGC 0055,3.72334,-39.19663,332.88217,-75.73088,6.557,0.021,0.0004303,0.000796082,0.000350243,1.976696074,0.11737847,9,0,4,224.8,8.24742384,0,0,259.7990252,1.33605E+36,0.121277778,0.035222222,0,0.068023022,0.012863317,0.004935338,3.736341549,-39.20136648,3.763300337,-39.19749206,g
00253146-3302458,ESO 350- G 015,6.38107,-33.04613,344.79538,-81.85265,11.38,0.076,0.049701292,0.051087686,0.000500347,220.9885806,2.164336587,-2,1,2,1494.4,44.41846463,2310,84.9,1969.123311,1.26566E+41,0.0325,0.02275,0,0.032914881,0.007193418,0,6.374644905,-33.06144178,6.374378667,-33.04894159,j
00290096-0113420,PKS 0026-014,7.25406,-1.22829,110.26842,-63.54736,11.432,0.065,0.082814361,0.087173805,0.000500347,386.7434071,2.219770714,98,0,1,284.8,8.6,0,0,329.140402,6.47935E+40,0.005527778,0.005527778,1,0.000308814,0.000308814,0,7.258142994,-1.225093411,7.253975023,-1.225093411,p
00345616+1027533,4C +10.01,8.73405,10.46487,116.30469,-52.19434,11.473,0.073,0.05689964,0.059368406,0.000500347,258.333008,2.177186908,98,0,1,850.4,28.7,0,0,982.7984476,8.63234E+40,0.008111111,0.008111111,0,0.000403009,0.000403009,0,8.733047738,10.46552442,8.733057591,10.46969257,j
00375761-2504254,2MASX J00375761-2504254,9.49014,-25.07375,66.358,-86.34293,11.486,0.07,0.063567619,0.065945852,0.000500347,288.2918373,2.187338837,98,0,3,216.8,5.746303159,0,0,250.5535083,2.74075E+40,0.031111111,0.021138889,0,0.026533998,0.000216795,0,9.486053452,-25.07629747,9.490553275,-25.06791912,j
00391857+0319528,NGC 0193,9.82741,3.3313,116.97753,-59.4001,9.335,0.027,0.014723591,0.014247256,0.000400278,59.97422191,1.684979374,-3,0,2,1277.3,32.41681662,0,0,1476.162344,6.98824E+39,0.043944444,0.0295,0,0.027424094,0.007431113,0,9.824215902,3.327129007,9.820055521,3.335472139,j
00404885-5612504,NGC 0215,10.20364,-56.21407,305.96448,-60.85156,9.961,0.039,0.027198949,0.027244024,0.000500347,115.810359,2.126901352,-3,2,0,0,0,310.4,10.21763182,264.5956172,4.6707E+39,0.054666667,0.034194444,0,0.030645788,0.025844705,0,10.19240445,-56.20430717,10.20304361,-56.2118354,j
00473313-2517196,NGC 0253,11.88806,-25.2888,97.36301,-87.96452,3.815,0.016,0.000810565,0.001100076,0.000408617,3.509813491,0.656778971,5,0,8,5572.3,121.4900819,0,0,6439.849235,1.04411E+38,0.230555556,0.035361111,0,0.164700198,0.000720228,0.003200846,11.90323332,-25.27924296,11.91704573,-25.29592181,g
00484711+3157249,NGC 0262,12.19641,31.95696,122.27618,-30.9113,10.313,0.046,0.015033807,0.014792613,0.00047533,62.29568058,2.001740893,-2,0,1,292.2,8.8,0,0,337.6925052,1.72481E+39,0.004972222,0.004972222,1,8.18555E-05,8.18555E-05,0,12.19850469,31.95585411,12.19359326,31.95580385,p
00545264-0437033,2MASX J00545264-0437033,13.71931,-4.61759,125.16944,-67.47436,11.744,0.057,0.07154213,0.07202448,0.000500347,316.2097348,2.196677499,98,0,4,222.6,6.7867518,0,0,257.256508,3.38549E+40,0.093944444,0.061111111,0,0.02503914,0.000742743,0.001755669,13.70999366,-4.627405168,13.71416571,-4.623229575,j
00560269-0120037,CGCG 384-032,14.01125,-1.3344,125.57655,-64.18245,11.326,0.059,0.042689741,0.04420052,0.000500347,190.2475847,2.153589743,98,0,4,1198.4,24.39877046,0,0,1384.978433,6.59759E+40,0.086666667,0.031333333,0,0.072428171,0.009708352,0.002176626,13.99263873,-1.370964223,14.00096222,-1.350125014,j
00562558-0115449,UGC 00583,14.10664,-1.26248,125.78799,-64.10651,10.639,0.049,0.038229967,0.039545999,0.000500347,169.6371744,2.146296324,-5,0,4,1370.2,25.74723286,0,0,1583.525909,5.99752E+40,0.084416667,0.034111111,0,0.070007933,0.005366395,0,14.09498563,-1.308447128,14.10751445,-1.28344073,j
00573491-0123278,UGC 00595,14.39547,-1.39104,126.46439,-64.22059,10.86,0.054,0.045031372,0.046650706,0.000500347,201.1507063,2.157419208,-5,0,2,5365.4,131.7026955,0,0,6200.737054,3.3021E+41,0.025611111,0.013166667,0,0.011132261,0.008748084,0,14.39515,-1.391803614,14.3909833,-1.387635722,j
00574891+3021083,NGC 0315,14.45378,30.35236,124.56313,-32.49909,8.027,0.017,0.016484818,0.016619215,0.000700486,69.67203005,2.829571262,-5,0,6,6630,128.0095712,0,0,1920.409431,4.89526E+40,0.137111111,0.035361111,0,0.094230751,0.002614759,0.002991511,14.44648799,30.35870085,14.44648799,30.35870085,j
00582263+2651586,NGC 0326 NED01,14.59431,26.86626,124.84438,-35.97962,10.38,0.05,0.048733951,0.050866796,0.000500347,219.9981254,2.16399274,-4,0,5,1802.9,32.85604967,0,0,2083.592805,1.32726E+41,0.088194444,0.035361111,0,0.034976634,0.004702271,0.001481524,14.59854503,26.87191632,14.59849337,26.87608353,j
00582305-6648461,ABELL S0112:[GMT93] C,14.59607,-66.81281,301.8616,-50.30098,11.39,0.078,0.074311771,0.076819133,0.000500347,338.3861615,2.204014228,-2,2,0,0,0,404.6,11.70982493,344.8949315,5.19776E+40,0,0,0,0.029224309,0.003909738,0,14.60758801,-66.80652283,14.60713259,-66.80981414,p
01014997-0252314,2MASX J01014997-0252314,15.4582,-2.87542,129.23,-65.61993,11.701,0.07,0.07060252,0.073831473,0.000500347,324.5514488,2.199445577,98,0,5,254,6.433506043,0,0,293.5451619,4.06955E+40,0.11325,0.035,0,0.059365187,0.00080368,0,15.45764665,-2.86641382,15.43678214,-2.874734748,j
01015074-0647594,NGC 0349,15.46144,-6.79981,130.3349,-69.52178,9.318,0.027,0.019967244,0.020476447,0.000723294,86.60273232,3.059085574,-5,0,9,295.9,7.812169993,0,0,341.9685567,3.37562E+39,0.25975,0.034944444,0,0.153085918,0.001111598,0,15.44616245,-6.741195377,15.46288561,-6.795396616,j
01072493+3224452,NGC 0383,16.85396,32.41256,126.839,-30.33785,8.574,0.023,0.01700518,0.017251549,0.00075052,72.45645063,3.031214781,-4,0,6,4835.8,73.52387367,0,0,5588.683835,3.86161E+40,0.183222222,0.035361111,0,0.088664183,0.002592475,0,16.85966032,32.42409474,16.85488237,32.41155107,j
01074756-1730250,IC 1623B,16.94818,-17.50697,145.20363,-79.66441,10.049,0.021,0.020304145,0.02065284,0.000778133,87.36034884,3.29145919,10,0,1,248.5,9.8,0,0,287.188869,2.8847E+39,0.004388889,0.004388889,0,0.001527067,0.001527067,0,16.94812203,-17.50644488,16.94375251,-17.50646385,p
01100320+1358417,2MASX J01100320+1358417,17.51331,13.97823,129.77573,-48.64593,11.373,0.109,0.058280602,0.060831115,0.000500347,264.9727656,2.179448742,-5,0,2,237.7,8.215229759,0,0,274.7074212,2.5385E+40,0.015305556,0.011416667,0,0.024618663,0.000594056,0,17.51590389,13.97968168,17.50731351,13.97972743,p
01103850+1649348,2MASX J01103850+1649348,17.66041,16.8263,129.53018,-45.7992,11.428,0.082,0.065242119,0.068301443,0.000500347,299.0843328,2.190962698,98,0,1,301.2,10,0,0,348.0937117,4.09815E+40,0.022638889,0.022638889,0,0.000612539,0.000612539,0,17.65874423,16.82702764,17.65438965,16.82706086,j
01110909-1357397,MCG -02-04-010,17.78788,-13.96103,143.16814,-76.05228,10.66,0.059,0.051635973,0.053393256,0.000500347,231.344357,2.167922243,5,0,1,1306.6,44.5,0,0,1510.024049,1.06367E+41,0.016055556,0.016055556,0,0.001765422,0.001765422,0,17.78641942,-13.96560039,17.78638709,-13.96143137,j
01125953+1529283,VV 382 NED01,18.24813,15.49125,130.56612,-47.06067,10.825,0.079,0.043847214,0.045602182,0.000500347,196.4803503,2.155781274,-4,0,7,1042.8,17.92010045,0,0,1205.153129,6.12329E+40,0.09575,0.025305556,0,0.075440443,0.011536796,0.010880424,18.2486328,15.488717,18.25299342,15.48458538,j
01193495+3210495,CGCG 502-027 NED02,19.89573,32.18051,129.82974,-30.3139,11.273,0.055,0.059714935,0.062515571,0.000500347,272.6351186,2.182050477,-2,0,1,2635.2,79.1,0,0,3045.47327,2.97936E+41,0.005416667,0.005416667,1,0.000168406,0.000168406,0.001259435,19.89571151,32.18176934,19.89571151,32.18176934,p
01254430-0122461,NGC 0541,21.4346,-1.37948,142.07878,-62.96905,9.468,0.034,0.018085933,0.018134659,0.000575399,76.19234661,2.351435995,5,0,6,538.2,11.91259837,0,0,621.9921502,4.75239E+39,0.067222222,0.0225,0,0.186741263,0.003117076,0.004404506,21.45056519,-1.362628518,21.44223185,-1.370964223,j
01260057-0120424,NGC 0547,21.50248,-1.34514,142.1993,-62.91634,8.476,0.021,0.018239373,0.018319834,0.000583738,76.95573914,2.384469126,-5,0,8,3926.3,68.98804244,0,0,4537.584131,3.5368E+40,0.219388889,0.035361111,0,0.177514225,0.002780647,0.038189838,21.50056533,-1.312614885,21.49224712,-1.345957193,j
01265442+1912517,IC 0115,21.72676,19.21446,134.38686,-42.86692,10.919,0.043,0.042683069,0.044401465,0.000500347,191.1403859,2.153904063,-5,0,1,1408.1,45.2,0,0,1627.326545,7.82499E+40,0.013194444,0.013194444,0,0.000211901,0.000211901,0,21.72555925,19.21658429,21.72555925,19.21658429,j
01313288+0033210,4C +00.05,22.88709,0.55589,143.76212,-60.68335,11.709,0.08,0.079238536,0.083200968,0.000500347,368.1151624,2.213739561,98,0,3,532,15.20624872,0,0,614.8268746,1.09654E+41,0.051666667,0.034777778,0,0.020679791,4.00091E-05,0,22.89571403,0.550008476,22.88737719,0.558342199,j
01335775-3629358,NGC 0612,23.49057,-36.49324,261.66479,-77.00528,9.671,0.03,0.030534606,0.030948632,0.000500347,131.9204886,2.132760024,0,4,11,5137.3,67.73499834,12256,225.6340843,10447.4352,2.39298E+41,0.324333333,0.079055556,0,0.112277794,0.01666041,0.050009469,23.47425686,-36.47942427,23.46389248,-36.47950712,j
01341823-2925065,NGC 0613,23.57598,-29.41849,229.07695,-80.29227,7.179,0.018,0.004940108,0.004799154,0.00037526,20.64441124,1.513691744,4,0,3,222.9,6.673829485,0,0,257.6032149,1.44498E+38,0.05625,0.025388889,0,0.023685398,0.000350588,0,23.57425956,-29.42033205,23.57425956,-29.42033205,g
01430234+1338444,NGC 660,25.75979,13.64568,141.60667,-47.34629,7.38,0.016,0.002855323,0.002878352,0.000383599,12.43834216,1.32385655,4,0,3,391.8,14.00392802,0,0,452.7991907,9.22009E+37,0.045277778,0.02125,0,0.019297734,0.00037016,0.001770112,25.75825509,13.64894414,25.75825509,13.64894414,g
01444275+4244154,CGCG 537-022,26.17824,42.73759,133.24446,-19.06474,10.938,0.059,0.050398444,0.052661722,0.000500347,228.0550632,2.166785202,-3,0,2,293.4,7.071067812,0,0,339.0793327,2.32105E+40,0.03875,0.020333333,0,0.015346497,0.014867374,0.002378241,26.17435821,42.73542358,26.17443714,42.73959084,j
01451214-5543394,ESO 152-IG 022 NED02,26.30067,-55.72767,287.84946,-59.79831,11.622,0.093,0.090086093,0.0942012,0.000500347,419.9205703,2.230395676,98,2,0,0,0,885.2,28.78419705,754.5748724,1.75122E+41,0.020277778,0.020277778,0,0.026372433,0.001548023,0,26.30647841,-55.7240155,26.29563054,-55.72421896,j
01532586+7115067,2MASX J01532586+7115067,28.35774,71.25183,127.92009,8.98308,9.801,0.039,0.022809224,0.023999698,0.000500347,101.7724848,2.121757783,-5,0,6,1290.9,22.00318159,0,0,1491.879723,2.03376E+40,0.137194444,0.035333333,0,0.084075134,0.000146005,0.001411476,28.18709315,71.27174661,28.29287187,71.26649295,j
01562095+0537437,NGC 0741,29.08735,5.62887,150.93419,-53.67628,8.357,0.02,0.01854959,0.019082982,0.000533703,80.24902026,2.188260892,-5,0,6,1058.9,20.79014189,0,0,1223.759732,1.03724E+40,0.116333333,0.035305556,0,0.080722984,0.005010145,0,29.08441339,5.603663719,29.08863974,5.624499783,j
02093856+3547499,UGC 01651,32.41074,35.79723,140.27638,-24.42656,9.427,0.037,0.037729618,0.039305926,0.000500347,168.5777513,2.145919475,-5,0,1,2086,73.4,0,0,2410.768535,9.01696E+40,0.012611111,0.012611111,0,0.000131306,0.000131306,0,32.40929843,35.79655968,32.40939383,35.8048927,j
02105339-0633334,MCG -01-06-064,32.7225,-6.55931,169.0712,-62.08573,11.171,0.056,0.043400235,0.044735104,0.000500347,192.6232931,2.15442584,-5,0,1,620.2,20.9,0,0,716.7586985,3.50022E+40,0.017583333,0.017583333,0,0.003478352,0.003478352,0,32.7172169,-6.561728232,32.7172109,-6.557560253,j
02141794+5144520,2MASX J02141794+5144520,33.57472,51.74777,135.74435,-9.05065,11.521,0.052,0.049000804,0.051183348,0.000500347,221.4176135,2.164485482,98,0,4,453,10.26888504,0,0,523.5273951,3.37807E+40,0.080555556,0.032416667,0,0.030989034,0.000229241,0,33.56269935,51.75388157,33.56202447,51.76637467,j
02164508-4749086,ESO 198- G 001,34.18797,-47.81908,269.80786,-63.45338,10.99,0.063,0.064271442,0.066196275,0.000500347,289.4376085,2.187724388,-5,4,0,0,0,3717.2,66.81841064,3168.668906,3.49374E+41,0.102777778,0.057361111,0,0.047300322,0.013475741,0.005526265,34.19438366,-47.82859621,34.20816305,-47.82046826,j
02195871+0155488,UGC 01797,34.99468,1.93024,162.72383,-53.95612,10.732,0.039,0.041028583,0.042357183,0.000500347,182.0692319,2.150704256,0,0,1,560.3,19.2,0,0,647.5328907,2.82514E+40,0.01575,0.01575,0,0.000308829,0.000308829,0,34.99521209,1.929531466,34.99103994,1.933700502,j
02202416+3659414,CGCG 523-025,35.10069,36.99483,142.03963,-22.55384,10.722,0.053,0.03679897,0.03832788,0.000500347,164.2653892,2.144383533,-5,0,7,824,14.33945606,0,0,952.2882418,3.38193E+40,0.183611111,0.033555556,0,0.110582428,0.004065338,0.003219393,35.08181925,36.99242915,35.10268689,36.99258438,j
