level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
0,1,Andromeda_XVIII,1.285,0.560417,45.0889,113.888,-16.9172,-9.9
1,2,Andromeda_XX,0.771,1.87792,35.1322,112.873,-26.8801,2.6
2,3,ESO_410-G005,1.897,3.88125,-32.18,357.846,-80.7109,-9.9
3,4,Andromeda_XIX,0.852,4.88375,35.0436,115.582,-27.3724,-9.9
4,5,Andromeda_XXVI,0.872,5.94,47.9161,118.144,-14.6981,4.6
5,6,Cetus,0.802,6.54583,-11.0444,101.455,-72.8546,-9.9
6,7,ESO_294-G010,1.916,6.63917,-41.8553,320.416,-74.4176,-9.9
7,8,Andromeda_XXV,0.774,7.53708,46.8519,119.151,-15.8634,-9.9
8,9,NGC 147,0.723,8.30042,48.5086,119.817,-14.2528,7.2
9,10,Andromeda_III,0.746,8.89083,36.4978,119.375,-26.2643,-9.9
10,11,Andromeda_XVII,0.748,9.27917,44.3222,120.232,-18.4744,10.6
11,12,Andromeda_XXVII,1.009,9.3625,45.3869,120.359,-17.4149,4.7
12,13,NGC 185,0.665,9.74167,48.3375,120.792,-14.4824,5.7
13,14,M110,0.812,10.0921,41.6853,120.716,-21.1388,-9.9
14,15,M32,0.773,10.6742,40.8653,121.15,-21.9762,4.5
15,16,Andromeda_I,0.771,11.4158,38.0411,121.679,-24.8166,-9.9
16,17,Andromeda_XI,0.783,11.5833,33.8014,121.719,-29.0583,11.5
17,18,Andromeda_XII,0.88,11.8625,34.3747,121.996,-28.4898,16.0
18,19,Andromeda_XIV,0.764,12.8958,29.6969,122.97,-33.1748,11.0
19,20,Andromeda_XIII,0.858,12.9625,33.0044,123.032,-29.8672,7.3
20,21,Andromeda_IX,0.736,13.2208,43.1958,123.212,-19.6751,35.0
22,23,Andromeda_XVI,0.509,14.8742,32.3767,124.906,-30.4642,4.9
24,25,LGS_3,1.246,15.9792,21.885,126.762,-40.8939,7.5
25,26,Andromeda_X,0.664,16.6404,44.8044,125.751,-17.9845,-9.9
26,27,AGC 111065,72.69,16.7142,32.7014,126.679,-30.0581,-9.9
27,28,NGC 373,72.69,16.7425,32.3083,126.739,-30.4486,-9.9
28,29,NGC 374,72.69,16.7742,32.795,126.73,-29.9612,177.0
30,31,NGC 379,69.325,16.8154,32.5203,126.793,-30.2328,228.0
35,36,NGC 384,72.69,16.8546,32.2925,126.85,-30.4577,254.0
39,40,AGC 111069,72.69,16.9421,32.6931,126.901,-30.0528,-9.9
40,41,NGC 388,72.69,16.9462,32.31,126.938,-30.4346,135.0
41,42,AGC 111070,72.69,16.9667,32.2561,126.962,-30.487,-9.9
42,43,NGC 392,70.875,17.0975,33.1336,127.013,-29.6038,245.0
43,44,NGC 394,72.69,17.1083,33.1481,127.023,-29.5887,177.0
44,45,NGC 397,72.69,17.1296,33.1092,127.046,-29.6261,146.0
45,46,NGC 399,72.69,17.2467,32.6344,127.202,-30.0918,131.0
46,47,NGC 403,72.69,17.3087,32.7522,127.251,-29.9702,215.0
47,48,NGC 404,4.026,17.3625,35.7181,127.035,-27.0102,73.0
48,49,Andromeda_V,0.801,17.5712,47.6281,126.219,-15.1234,3.9
49,50,NGC 407,72.69,17.6521,33.1264,127.546,-29.5735,221.0
50,51,AGC 111071,72.69,17.7108,33.1133,127.604,-29.5823,-9.9
51,52,NGC 410,66.125,17.7454,33.1519,127.633,-29.5413,287.0
52,53,AGC 110098,72.69,17.7817,33.2272,127.661,-29.4637,143.0
53,54,IC 1636,72.69,17.8954,33.3653,127.755,-29.3177,141.0
54,55,AGC 111074,72.69,17.9221,33.5208,127.765,-29.1608,-9.9
55,56,NGC 420,69.95,18.04,32.1231,128.026,-30.5436,173.0
56,57,IC 1638,79.35,18.0908,33.3644,127.942,-29.3037,168.0
57,58,NGC 431,97.667,18.5187,33.7042,128.31,-28.9311,157.0
58,59,Andromeda_XV,0.672,18.5779,38.1175,127.875,-24.5346,9.7
59,60,IC 1652,72.69,18.7342,31.9486,128.726,-30.6586,113.0
60,61,NGC 448,23.3,18.8187,-1.62611,136.559,-63.8654,111.4
61,62,NGC 447,72.69,18.9067,33.0678,128.755,-29.5303,152.0
62,63,Andromeda_II,0.639,19.1242,33.4192,128.919,-29.1611,24.0
63,64,Andromeda_XXIV,0.749,19.625,46.3661,127.789,-16.2502,9.7
64,65,NGC 468,71.704,19.9521,32.7678,129.798,-29.7254,87.0
