level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
0,1,Andromeda_XVIII,1.285,0.560417,45.0889,113.888,-16.9172,-9.9
1,2,Andromeda_XX,0.771,1.87792,35.1322,112.873,-26.8801,2.6
2,3,ESO_410-G005,1.897,3.88125,-32.18,357.846,-80.7109,-9.9
3,4,Andromeda_XIX,0.852,4.88375,35.0436,115.582,-27.3724,-9.9
7,8,Andromeda_XXV,0.774,7.53708,46.8519,119.151,-15.8634,-9.9
9,10,Andromeda_III,0.746,8.89083,36.4978,119.375,-26.2643,-9.9
10,11,Andromeda_XVII,0.748,9.27917,44.3222,120.232,-18.4744,10.6
11,12,Andromeda_XXVII,1.009,9.3625,45.3869,120.359,-17.4149,4.7
18,19,Andromeda_XIV,0.764,12.8958,29.6969,122.97,-33.1748,11.0
19,20,Andromeda_XIII,0.858,12.9625,33.0044,123.032,-29.8672,7.3
24,25,LGS_3,1.246,15.9792,21.885,126.762,-40.8939,7.5
25,26,Andromeda_X,0.664,16.6404,44.8044,125.751,-17.9845,-9.9
48,49,Andromeda_V,0.801,17.5712,47.6281,126.219,-15.1234,3.9
50,51,AGC 111071,72.69,17.7108,33.1133,127.604,-29.5823,-9.9
51,52,NGC 410,66.125,17.7454,33.1519,127.633,-29.5413,287.0
52,53,AGC 110098,72.69,17.7817,33.2272,127.661,-29.4637,143.0
53,54,IC 1636,72.69,17.8954,33.3653,127.755,-29.3177,141.0
54,55,AGC 111074,72.69,17.9221,33.5208,127.765,-29.1608,-9.9
56,57,IC 1638,79.35,18.0908,33.3644,127.942,-29.3037,168.0
57,58,NGC 431,97.667,18.5187,33.7042,128.31,-28.9311,157.0
61,62,NGC 447,72.69,18.9067,33.0678,128.755,-29.5303,152.0
62,63,Andromeda_II,0.639,19.1242,33.4192,128.919,-29.1611,24.0
63,64,Andromeda_XXIV,0.749,19.625,46.3661,127.789,-16.2502,9.7
114,115,NGC 584,19.93,22.8362,-6.86806,149.805,-67.6334,204.4
116,117,NGC 661,37.3,26.0608,28.7058,136.71,-32.7492,178.2
117,118,AGC 110536,68.958,27.2592,35.2339,136.013,-26.1705,97.0
118,119,UGC 269,67.95,27.2742,34.9831,136.095,-26.4106,130.0
119,120,UGC 272,68.958,27.3154,35.0731,136.107,-26.315,138.0
120,121,AGC 110538,68.958,27.3254,34.9683,136.145,-26.4144,-9.9
121,122,AGC 110540,68.958,27.3383,36.24,135.807,-25.1796,81.0
122,123,UGC 277,72.42,27.3571,35.4528,136.039,-25.9387,150.0
123,124,NGC 679,63.46,27.4325,35.7856,136.013,-25.6011,242.0
125,126,AGC 111104,68.958,27.5617,36.2286,136.003,-25.146,-9.9
126,127,AGC 111106,5.915,27.5933,35.9833,136.098,-25.3771,-9.9
127,128,AGC 111107,68.958,27.6008,36.3406,136.006,-25.0297,-9.9
128,129,NGC 687,63.72,27.6383,36.3708,136.03,-24.9928,232.0
129,130,UGC 308,73.533,27.7133,36.2758,136.121,-25.0696,223.0
130,131,AGC 111110,5.746,27.7358,36.1447,136.177,-25.1919,-9.9
131,132,Phoenix,0.418,27.7762,-44.4447,272.159,-68.9494,17.0
132,133,AGC 110851,68.958,27.8283,34.8728,136.617,-26.4028,95.0
133,134,AGC 111112,9.845,27.86,35.9344,136.343,-25.3698,-9.9
134,135,AGC 111113,68.958,27.8854,35.8756,136.382,-25.4215,-9.9
135,136,AGC 110581,68.958,28.0283,35.4147,136.638,-25.837,171.0
136,137,UGC 336,70.5,28.0529,36.0975,136.464,-25.1722,117.0
137,138,NGC 700,68.958,28.07,36.0367,136.496,-25.2274,142.0
138,139,UGC 339,53.85,28.1033,35.8564,136.576,-25.3946,153.0
139,140,AGC 111119,68.958,28.1162,36.4981,136.404,-24.772,-9.9
140,141,AGC 110848,68.958,28.1358,36.1153,136.53,-25.1377,-9.9
141,142,NGC 704,68.958,28.1571,36.1269,136.545,-25.122,-9.9
142,143,NGC 703,65.4,28.165,36.1714,136.539,-25.0774,269.0
143,144,AGC 111122,68.958,28.1667,36.1411,136.549,-25.1063,109.0
144,145,NGC 704,68.958,28.1667,36.1208,136.555,-25.1259,-9.9
145,146,NGC 705,68.958,28.1729,36.1439,136.554,-25.1023,172.0
146,147,NGC 708,63.0,28.1937,36.1519,136.569,-25.0902,212.0
147,148,NGC 709,68.958,28.2108,36.2233,136.564,-25.0177,-9.9
148,149,AGC 111123,68.958,28.2112,36.1517,136.585,-25.0868,63.0
