SDSS colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (13) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (u-g)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (u-g). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (u-g) and its uncertainty.
Column 5: The (g-r)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (g-r). The uncertainty, if available, comes from the same source as (g-r) itself.
Column 7: The sources for (g-r) and its uncertainty.
Column 8: The (g-i)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (g-i). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(g-i)$ and its uncertainty.
Column 11: The (g-z)-colour of the galaxy, corrected for extinction and redshift. 
Column 12: The uncertainty of (g-z). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 13: The sources for $(g-z)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   (u-g)  d(u-g)       s.  (g-r)  d(g-r)       s.  (g-i)  d(g-i)       s.  (g-z)  d(g-z)       s.
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
   1   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   2   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   3   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   4   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   5   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   6   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   7   -0.49    0.21       1    0.84    0.14       1    1.02    0.16       1    0.79    0.49       1
   8   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   9   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  10   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  11   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  12   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  13   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  14   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  15   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  16   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  17   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  18   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  19   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  20   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  21   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  22    2.00    0.01       1    0.82    0.00       1    1.23    0.00       1    1.60    0.00       1
  23   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  24   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  25   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  26   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  27    1.72    0.03       1    0.74    0.00       1    1.09    0.00       1    1.39    0.01       1
  28    1.98    0.02       1    0.82    0.00       1    1.18    0.00       1    1.54    0.00       1
  29    1.93    0.01       1    0.81    0.00       1    1.18    0.00       1    1.50    0.00       1
  30    1.74    0.01       1    0.78    0.00       1    1.15    0.00       1    1.47    0.00       1
  31   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  32   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  33   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  34   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  35   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  36    1.93    0.01       1    0.87    0.00       1    1.26    0.00       1    1.59    0.00       1
  37    1.88    0.01       1    0.83    0.00       1    1.20    0.00       1    1.47    0.00       1
  38    1.81    0.02       1    0.77    0.00       1    1.14    0.00       1    1.47    0.00       1
  39   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  40    1.65    0.03       1    0.72    0.00       1    1.07    0.00       1    1.34    0.01       1
  41    1.89    0.02       1    0.81    0.00       1    1.15    0.00       1    1.50    0.00       1
  42    1.58    0.05       1    0.76    0.01       1    1.08    0.01       1    1.36    0.01       1
  43    1.92    0.01       1    0.83    0.00       1    1.22    0.00       1    1.50    0.00       1
  44    1.88    0.01       1    0.85    0.00       1    1.25    0.00       1    1.60    0.00       1
  45    1.71    0.02       1    0.80    0.00       1    1.16    0.00       1    1.47    0.00       1
  46    1.88    0.01       1    0.84    0.00       1    1.22    0.00       1    1.54    0.00       1
  47    1.95    0.01       1    0.84    0.00       1    1.24    0.00       1    1.55    0.00       1
  48   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  49   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  50    1.99    0.01       1    0.93    0.00       1    1.33    0.00       1    1.70    0.00       1
  51    1.74    0.03       1    0.76    0.00       1    1.09    0.00       1    1.38    0.01       1
  52    2.05    0.01       1    0.86    0.00       1    1.25    0.00       1    1.59    0.00       1
  53    1.92    0.01       1    0.84    0.00       1    1.24    0.00       1    1.60    0.00       1
  54   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  55    1.96    0.02       1    0.82    0.00       1    1.17    0.00       1    1.50    0.00       1
  56    2.11    0.01       1    0.80    0.00       1    1.12    0.00       1    1.42    0.00       1
  57    1.85    0.01       1    0.78    0.00       1    1.14    0.00       1    1.44    0.00       1
  58    1.89    0.01       1    0.85    0.00       1    1.22    0.00       1    1.51    0.00       1
  59   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  60    1.76    0.01       1    0.81    0.00       1    1.16    0.00       1    1.41    0.00       1
  61    1.75    0.00       1    0.75    0.00       1    1.15    0.00       1    1.40    0.00       1
  62    1.97    0.01       1    0.74    0.00       1    1.23    0.00       1    1.54    0.00       1
  63   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  64   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  65    1.65    0.01       1    0.76    0.00       1    1.14    0.00       1    1.47    0.00       1
  66    1.71    0.01       1    0.72    0.00       1    1.07    0.00       1    1.34    0.00       1
  67    1.86    0.00       1    0.78    0.00       1    1.16    0.00       1    1.42    0.00       1
  68    1.91    0.01       1    0.78    0.00       1    1.14    0.00       1    1.44    0.00       1
  69    1.84    0.01       1    0.77    0.00       1    1.17    0.00       1    1.43    0.00       1
  70    1.99    0.01       1    1.03    0.00       1    1.55    0.00       1    1.89    0.00       1
  71    1.80    0.01       1    0.78    0.00       1    1.13    0.00       1    1.46    0.00       1
  72    1.88    0.01       1    0.79    0.00       1    1.14    0.00       1    1.47    0.00       1
  73    1.63    0.03       1    0.70    0.00       1    1.02    0.00       1    1.29    0.01       1
  74    1.77    0.02       1    0.79    0.00       1    1.15    0.00       1    1.45    0.00       1
  75    1.88    0.01       1    0.80    0.00       1    1.15    0.00       1    1.48    0.00       1
  76    1.93    0.01       1    0.83    0.00       1    1.21    0.00       1    1.50    0.00       1
  77    1.95    0.03       1    0.73    0.00       1    1.03    0.00       1    1.26    0.01       1
  78    1.66    0.02       1    0.76    0.00       1    1.11    0.00       1    1.40    0.01       1
  79    1.45    0.01       1    0.75    0.00       1    1.13    0.00       1    1.49    0.00       1
  80    1.67    0.01       1    0.73    0.00       1    1.07    0.00       1    1.36    0.00       1
  81    1.70    0.02       1    0.78    0.00       1    1.13    0.00       1    1.48    0.00       1
  82    2.10    0.01       1    0.76    0.00       1    1.17    0.00       1    1.47    0.00       1
  83    1.92    0.01       1    0.82    0.00       1    1.20    0.00       1    1.50    0.00       1
  84    1.91    0.01       1    0.87    0.00       1    1.28    0.00       1    1.64    0.00       1
  85    1.88    0.01       1    0.83    0.00       1    1.21    0.00       1    1.54    0.00       1
  86    1.64    0.03       1    0.74    0.00       1    1.07    0.00       1    1.35    0.01       1
  87    1.67    0.01       1    0.63    0.00       1    0.92    0.00       1    1.21    0.00       1
  88   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  89    1.83    0.02       1    0.78    0.00       1    1.15    0.00       1    1.46    0.00       1
  90    1.83    0.02       1    0.93    0.00       1    1.24    0.00       1    1.55    0.00       1
  91   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  92   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  93    1.67    0.03       1    0.74    0.00       1    1.06    0.00       1    1.35    0.01       1
  94    1.73    0.01       1    0.79    0.00       1    1.14    0.00       1    1.35    0.00       1
  95    1.90    0.01       1    0.80    0.00       1    1.17    0.00       1    1.53    0.00       1
  96    1.82    0.01       1    0.81    0.00       1    1.17    0.00       1    1.49    0.00       1
  97    1.62    0.01       1    0.66    0.00       1    0.99    0.00       1    1.31    0.00       1
  98    1.24    0.01       1    0.48    0.00       1    0.68    0.00       1    0.93    0.00       1
  99    1.72    0.02       1    0.77    0.00       1    1.13    0.00       1    1.42    0.00       1
 100    1.87    0.01       1    0.90    0.00       1    1.34    0.00       1    1.70    0.00       1
 101    1.73    0.01       1    0.75    0.00       1    1.11    0.00       1    1.44    0.00       1
 102    1.84    0.01       1    0.80    0.00       1    1.19    0.00       1    1.48    0.00       1
 103    1.90    0.00       1    0.96    0.00       1    1.41    0.00       1    1.79    0.00       1
 104    1.69    0.01       1    0.74    0.00       1    1.11    0.00       1    1.43    0.00       1
 105    1.94    0.01       1    0.87    0.00       1    1.30    0.00       1    1.65    0.00       1
 106    1.76    0.02       1    0.77    0.00       1    1.11    0.00       1    1.41    0.00       1
 107    1.89    0.01       1    0.85    0.00       1    1.24    0.00       1    1.52    0.00       1
 108    1.73    0.03       1    0.75    0.00       1    1.09    0.00       1    1.40    0.01       1
 109    1.95    0.03       1    0.89    0.00       1    1.24    0.00       1    1.69    0.01       1
 110    1.88    0.00       1    0.84    0.00       1    1.22    0.00       1    1.50    0.00       1
 111    1.83    0.02       1    0.91    0.00       1    1.34    0.00       1    1.77    0.00       1
 112    1.48    0.02       1    0.74    0.00       1    1.10    0.00       1    1.42    0.00       1
 113   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 114   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 115    1.87    0.00       1    0.79    0.00       1   -1.66    0.02       1    1.47    0.00       1
 116    1.88    0.00       1    0.78    0.00       1    1.17    0.00       1    1.41    0.00       1
 117    1.85    0.01       1    0.79    0.00       1    1.13    0.00       1    1.41    0.00       1
 118   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 119   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 120   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 121   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 122   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 123   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 124   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 125    1.88    0.00       1    0.79    0.00       1    1.17    0.00       1    1.47    0.00       1
 126   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 127   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
