Positions, redshifts and distances of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (2) in Dabringhausen & Fellhauer (2015).

The Table contains the following data:
Column 1: The running number that identifies the galaxies within this catalog. The galaxies are ordered by ascending right ascension.
Column 2: The right ascension for the epoch J2000.0.
Column 3: The declination for the epoch J2000.0.
Column 4: The origin of the data for right ascension and declination.
Column 5: The distance of the galaxies in Mpc.
Column 6: The origin of the distance estimate.
Column 7: The number of redshift-independent estimates from which the mean of the redshift-independent estimates quoted in this catalogue was calculated.
Column 8: The radial velocities of the galaxies.
Column 9: The source for the radial velocity of the galaxy.

For a detailed description of the data in this table, see Section (4) in Dabringhausen & Fellhauer (2015).

------------------------------------------------------------------
  id         asc       dec   s.       d   N_d     s.  v_rad     s.
         [h:m:s]   [d:m:s]        [Mpc]              [km/s]
------------------------------------------------------------------
   1  00:02:14.5  45:05:20   1    1.285     2     1    -332     4
   2  00:07:30.7  35:07:56   1    0.771     2     1       0   107
   3  00:15:31.5 -32:10:48   1    1.897    11     1     159     1
   4  00:19:32.1  35:02:37   1    0.852     3     1       0   107
   5  00:23:45.6  47:54:58   1    0.872     3     1       0   107
   6  00:26:11.0 -11:02:40   1    0.802     6     1     -87     1
   7  00:26:33.4 -41:51:19   1    1.916    12     1     117     1
   8  00:30:08.9  46:51:07   1    0.774     2     1       0   107
   9  00:33:12.1  48:30:31   1    0.723    26     1    -193     1
  10  00:35:33.8  36:29:52   1    0.746     6     1    -351     1
  11  00:37:07.0  44:19:20   1    0.748     3     1       0   107
  12  00:37:27.0  45:23:13   1    1.009     2     1       0   107
  13  00:38:58.0  48:20:15   1    0.665    25     1    -202     1
  14  00:40:22.1  41:41:07   1    0.812    21     1    -241     1
  15  00:42:41.8  40:51:55   1    0.773    31     1    -200     1
  16  00:45:39.8  38:02:28   1    0.771    10     1    -368     1
  17  00:46:20.0  33:48:05   1    0.783     5     1    -420     1
  18  00:47:27.0  34:22:29   1    0.880     5     1    -559     1
  19  00:51:35.0  29:41:49   1    0.764     2     1    -481     1
  20  00:51:51.0  33:00:16   1    0.858     5     1    -195     1
  21  00:52:53.0  43:11:45   1    0.736     6     1    -208     1
  22  00:57:48.9  30:21:09   1   59.600     4     1    4942     1
  23  00:59:29.8  32:22:36   1    0.509     3     1    -385     1
  24  01:00:09.3 -33:42:33   1    0.083    18     1     110     1
  25  01:03:55.0  21:53:06   1    1.246    12     1    -287     1
  26  01:06:33.7  44:48:16   1    0.664     3     1    -164     1
  27  01:06:51.4  32:42:05   1   72.690     0   103    5884     1
  28  01:06:58.2  32:18:30   1   72.690     0   103    5502     1
  29  01:07:05.8  32:47:42   1   72.690     0   103    5031     1
  30  01:07:05.9  32:20:53   1   72.690     0   103    5855     1
  31  01:07:15.7  32:31:13   1   69.325     4     1    5578     1
  32  01:07:17.6  32:28:59   1   73.575     4     1    4426     1
  33  01:07:18.0  32:25:28   1   72.690     0   103    5661     1
  34  01:07:23.9  32:24:14   1   68.035    20     1    5229     1
  35  01:07:24.9  32:24:45   1   65.625     8     1    5098     1
  36  01:07:25.1  32:17:33   1   72.690     0   103    4233     1
  37  01:07:27.2  32:19:10   1   70.450     4     1    4975     1
  38  01:07:31.3  32:21:43   1   72.690     0   103    5556     1
  39  01:07:33.0  32:23:28   1   72.690     0   103    4707     1
  40  01:07:46.1  32:41:35   1   72.690     0   103    5334     1
  41  01:07:47.1  32:18:36   1   72.690     0   103    5444     1
