Standard-system magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (5) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent U-band magnitude, m_U, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_U.
Column 4: The sources for the quoted values for m_U and their uncertainties.
Column 5: The apparent B-band magnitude, m_B, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_B.
Column 7: The sources for the quoted values for m_B and their uncertainties. 
Column 8: The apparent V-band magnitude, m_V, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_V.
Column 10: The sources for the quoted values for m_V and their uncertainties.
Column 11: The apparent I-band magnitude, m_I, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_I.
Column 13: The sources for the quoted values for m_I and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   m_U      dm_U       s.  m_B      dm_B       s.  m_V      dm_V       s.  m_I      dm_I      s. 
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
   1   13.25   -9.99       1   13.50   -9.99       1   14.50    0.10       4   -9.99   -9.99       0
   2   -9.99   -9.99       0   18.20   -9.99       4   18.30    1.20       4   -9.99   -9.99       0
   3   -9.99   -9.99       0   15.54   -9.99       1   15.30    0.30       4   -9.99   -9.99       0
   4   -9.99   -9.99       0   16.84   -9.99       4   16.30    0.50       4   -9.99   -9.99       0
   5   -9.99   -9.99       0   18.14   -9.99       4   17.50    1.20       4   -9.99   -9.99       0
   6   12.49   -9.99       1   12.46   -9.99       1   12.60    0.20       4   -9.99   -9.99       0
   7   15.15    0.50    1002   14.84    0.80    1002   19.38    0.04       8   18.33    0.04       7
   8   -9.99   -9.99       0   17.93   -9.99       4   17.30    0.50       4   -9.99   -9.99       0
   9   -9.99   -9.99       0   15.39   -9.99       4   14.80    0.60       4   -9.99   -9.99       0
  10   -9.99   -9.99       0   15.47   -9.99       4   14.80    0.50       4   -9.99   -9.99       0
  11   -9.99   -9.99       0   13.50   -9.99       1   12.70    0.10       4   -9.99   -9.99       0
  12   -9.99   -9.99       0   14.55   -9.99       1   14.40    0.30       4   -9.99   -9.99       0
  13   -9.99   -9.99       0   16.80   -9.99       4   16.00    0.30       4   -9.99   -9.99       0
  14   -9.99   -9.99       0   17.38   -9.99       4   15.80    0.40       4   -9.99   -9.99       0
  15   -9.99   -9.99       0   16.36   -9.99       4   16.30    1.10       4   -9.99   -9.99       0
  16   -9.99   -9.99       0   17.25   -9.99       4   16.70    0.50       4   -9.99   -9.99       0
  17   -9.99   -9.99       0   16.14   -9.99       1   15.30    0.20       4   -9.99   -9.99       0
  18   -9.99   -9.99       0    9.84   -9.99       1    9.50    0.10       4   -9.99   -9.99       0
  19   -9.99   -9.99       0   15.70   -9.99       4   14.60    0.30       4   -9.99   -9.99       0
  20   -9.99   -9.99       0   14.46   -9.99       1   11.70    0.20       4   -9.99   -9.99       0
  21   -9.99   -9.99       0    8.52   -9.99       1    8.10    0.10       4   -9.99   -9.99       0
  22   12.41   -9.99       1   11.85   -9.99       1   10.92   -9.99       1   10.30    0.45    1045
  23   -9.99   -9.99       0   16.34   -9.99       4   15.60    0.40       4   -9.99   -9.99       0
  24   -9.99   -9.99       0   11.79   -9.99       1   10.40    0.50       4   -9.99   -9.99       0
  25   -9.99   -9.99       0   16.36   -9.99       4   15.10    0.50       4   -9.99   -9.99       0
  26   -9.99   -9.99       0   14.81   -9.99       4   14.20    0.50       4   -9.99   -9.99       0
  27   15.99    0.50    1012   16.65   -9.99       1   14.75    0.47    1023   13.91    0.45    1045
  28   15.94    0.50    1012   15.60   -9.99       1   14.54    0.47    1023   13.62    0.45    1045
  29   14.40    0.50    1012   13.81   -9.99       1   12.99    0.47    1023   12.16    0.45    1045
  30   15.59    0.50    1012   14.95   -9.99       1   14.06   -9.99       1   13.45    0.45    1045
  31   13.87   -9.99       1   13.40   -9.99       1   12.50   -9.99       1   -9.99   -9.99       0
  32   13.67   -9.99       1   13.15   -9.99       1   12.21   -9.99       1   -9.99   -9.99       0
  33   -9.99   -9.99       0   16.50   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  34   -9.99   -9.99       0   14.10   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  35   -9.99   -9.99       0   12.66   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  36   14.10   -9.99       1   13.66   -9.99       1   12.84   -9.99       1   12.12    0.45    1045
  37   13.92   -9.99       1   13.55   -9.99       1   12.69   -9.99       1   11.95    0.45    1045
  38   15.46   -9.99       1   14.92   -9.99       1   14.02   -9.99       1   13.07    0.45    1045
  39   -9.99   -9.99       0   16.12   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  40   16.07    0.50    1012   16.20   -9.99       1   14.88    0.47    1023   14.05    0.45    1045
  41   15.56   -9.99       1   15.13   -9.99       1   14.14   -9.99       1   13.39    0.45    1045
  42   16.84    0.50    1012   16.91   -9.99       1   15.69    0.47    1023   14.83    0.45    1045
  43   13.82   -9.99       1   13.37   -9.99       1   12.51   -9.99       1   11.68    0.45    1045
  44   15.05    0.50    1012   14.46   -9.99       1   13.66    0.47    1023   12.74    0.45    1045
  45   15.50    0.50    1012   15.42   -9.99       1   14.23    0.47    1023   13.37    0.45    1045
  46   14.66    0.50    1012   14.05   -9.99       1   13.27    0.47    1023   12.40    0.45    1045
  47   13.76    0.50    1012   12.80   -9.99       1   12.30    0.47    1023   11.47    0.45    1045
  48   12.25   -9.99       1   11.78   -9.99       1   10.88   -9.99       1   -9.99   -9.99       0
  49   -9.99   -9.99       0   16.14   -9.99       4   16.60    1.00       4   -9.99   -9.99       0
  50   14.70    0.50    1012   13.82   -9.99       1   13.20    0.47    1023   12.26    0.45    1045
  51   16.31    0.50    1012   16.24   -9.99       1   15.07    0.47    1023   14.22    0.45    1045
  52   12.72   -9.99       1   12.19   -9.99       1   11.26   -9.99       1   10.59    0.45    1045
  53   15.33    0.50    1012   15.22   -9.99       1   13.92    0.47    1023   13.00    0.45    1045
  54   -9.99   -9.99       0   14.86   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  55   15.91    0.50    1012   15.69   -9.99       1   14.51    0.47    1023   13.62    0.45    1045
  56   13.69    0.50    1012   13.15   -9.99       1   12.17    0.47    1023   11.44    0.45    1045
  57   14.84    0.50    1012   14.86   -9.99       1   13.48    0.47    1023   12.68    0.45    1045
  58   14.30    0.50    1012   13.78   -9.99       1   12.87    0.47    1023   12.08    0.45    1045
  59   -9.99   -9.99       0   17.84   -9.99       4   18.10    1.20       4   -9.99   -9.99       0
  60   14.66    0.50    1012   13.68   -9.99       1   13.33    0.47    1023   12.54    0.45    1045
  61   13.42    0.50    1012   13.06   -9.99       1   12.16    0.47    1023   11.29    0.45    1045
  62   15.12   -9.99       1   14.73   -9.99       1   13.70   -9.99       1   12.48    0.45    1045
  63    9.58   -9.99       1    9.35   -9.99       1    9.20    0.10       4   -9.99   -9.99       0
  64   -9.99   -9.99       0   12.82   -9.99       1   11.80    0.30       4   -9.99   -9.99       0
  65   15.23    0.50    1012   14.89   -9.99       1   14.01    0.47    1023   13.15    0.45    1045
  66   15.57    0.50    1012   15.48   -9.99       1   14.34    0.47    1023   13.54    0.45    1045
  67   12.56   -9.99       1   12.20   -9.99       1   11.40   -9.99       1   10.79    0.45    1045
  68   14.53    0.50    1012   14.04   -9.99       1   13.14    0.47    1023   12.34    0.45    1045
  69   15.16    0.50    1012   14.46   -9.99       1   13.84    0.47    1023   12.99    0.45    1045
  70   14.64    0.50    1012   14.25   -9.99       1   13.11    0.47    1023   11.99    0.45    1045
  71   15.23    0.50    1012   14.83   -9.99       1   13.91    0.47    1023   13.07    0.45    1045
  72   15.39    0.50    1012   15.00   -9.99       1   14.04    0.47    1023   13.19    0.45    1045
  73   16.68    0.50    1012   16.76   -9.99       1   15.53    0.47    1023   14.71    0.45    1045
  74   15.49    0.50    1012   15.12   -9.99       1   14.19    0.47    1023   13.34    0.45    1045
  75   15.25    0.50    1012   14.73   -9.99       1   13.89    0.47    1023   13.04    0.45    1045
  76   14.29    0.50    1012   13.75   -9.99       1   12.86    0.47    1023   12.03    0.45    1045
  77   15.91    0.50    1012   16.28   -9.99       1   14.56    0.47    1023   13.81    0.45    1045
  78   16.65    0.50    1012   16.26   -9.99       1   15.45    0.47    1023   14.57    0.45    1045
  79   15.59    0.50    1012   14.94   -9.99       1   14.48    0.47    1023   13.59    0.45    1045
  80   16.47    0.50    1012   16.10    0.43    1012   15.27    0.47    1023   14.42    0.45    1045
  81   15.40    0.50    1012   15.41   -9.99       1   14.14    0.47    1023   13.28    0.45    1045
  82   13.98   -9.99       1   13.53   -9.99       1   12.65   -9.99       1   11.56    0.45    1045
  83   14.36    0.50    1012   13.23   -9.99       1   12.94    0.47    1023   12.11    0.45    1045
  84   13.54   -9.99       1   12.95   -9.99       1   12.02   -9.99       1   11.08    0.45    1045
  85   15.42    0.50    1012   15.13   -9.99       1   14.20   -9.99       1   13.14    0.45    1045
  86   16.57    0.50    1012   16.60   -9.99       1   15.39    0.47    1023   14.54    0.45    1045
  87   14.30    0.50    1012   14.32   -9.99       1   13.14    0.47    1023   12.41    0.45    1045
  88   -9.99   -9.99       0   13.80   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  89   16.34    0.50    1012   16.10   -9.99       1   15.04    0.47    1023   14.14    0.45    1045
  90   15.40    0.50    1012   14.85   -9.99       1   14.00    0.47    1023   13.13    0.45    1045
  91   12.71   -9.99       1   12.23   -9.99       1   11.34   -9.99       1   -9.99   -9.99       0
  92   -9.99   -9.99       0   13.84   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
  93   16.14    0.50    1012   16.30   -9.99       1   14.94    0.47    1023   14.12    0.45    1045
  94   14.87    0.50    1012   14.69   -9.99       1   13.59    0.47    1023   12.81    0.45    1045
  95   15.36    0.50    1012   14.66   -9.99       1   13.98    0.47    1023   13.10    0.45    1045
  96   15.28    0.50    1012   14.97   -9.99       1   13.94    0.47    1023   13.08    0.45    1045
  97   14.04    0.50    1012   13.90   -9.99       1   12.89    0.47    1023   12.11    0.45    1045
  98   15.65    0.50    1012   15.57   -9.99       1   14.78    0.47    1023   14.22    0.45    1045
  99   16.02    0.50    1012   15.89   -9.99       1   14.77    0.47    1023   13.91    0.45    1045
 100   14.72    0.50    1012   14.13   -9.99       1   13.30    0.47    1023   12.34    0.45    1045
 101   15.63    0.50    1012   15.35   -9.99       1   14.38    0.47    1023   13.53    0.45    1045
 102   14.10    0.50    1012   13.41   -9.99       1   12.74    0.47    1023   11.90    0.45    1045
 103   11.54   -9.99       1   11.01   -9.99       1   10.06   -9.99       1    9.45    0.45    1045
 104   14.30    0.50    1012   14.14   -9.99       1   13.09    0.47    1023   12.21    0.45    1045
 105   14.16    0.50    1012   13.28   -9.99       1   12.71    0.47    1023   11.79    0.45    1045
 106   16.61    0.50    1012   16.41   -9.99       1   15.36    0.47    1023   14.48    0.45    1045
 107   13.38   -9.99       1   12.85   -9.99       1   11.95   -9.99       1   11.22    0.45    1045
 108   16.42    0.50    1012   16.57   -9.99       1   15.19    0.47    1023   14.32    0.45    1045
 109   17.11    0.50    1012   16.28   -9.99       1   15.65    0.47    1023   14.73    0.45    1045
 110   13.43    0.50    1012   14.40   -9.99       1   12.00    0.47    1023   11.21    0.45    1045
 111   14.95    0.50    1012   14.38   -9.99       1   13.56    0.47    1023   12.55    0.45    1045
 112   15.56    0.50    1012   14.49   -9.99       1   14.44    0.47    1023   13.59    0.45    1045
 113   -9.99   -9.99       0   13.78   -9.99       1   13.20    0.20       4   -9.99   -9.99       0
 114   -9.99   -9.99       0   18.75   -9.99       4   18.20    0.80       4   -9.99   -9.99       0
 115   11.57   -9.99       1   11.11   -9.99       1   10.21   -9.99       1   10.91    0.45    1045
 116   12.67   -9.99       1   12.21   -9.99       1   11.30   -9.99       1   10.49    0.45    1045
 117   13.69   -9.99       1   12.82   -9.99       1   11.95   -9.99       1   11.02    0.45    1045
 118   -9.99   -9.99       0   15.39   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 119   -9.99   -9.99       0   15.11   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 120   -9.99   -9.99       0   14.20   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 121   -9.99   -9.99       0   15.29   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 122   -9.99   -9.99       0   15.21   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 123   -9.99   -9.99       0   14.04   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 124   13.74   -9.99       1   13.21   -9.99       1   12.32   -9.99       1   -9.99   -9.99       0
 125   12.95   -9.99       1   12.52   -9.99       1   11.62   -9.99       1   10.68    0.45    1045
