SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
   1   12.97    0.43    1012   11.69    0.43    1012   13.06    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   2   18.37    3.05    1002   17.89    1.70    1002   17.94    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   3   16.33    3.05    1002   15.46    1.70    1002   15.24    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   4   17.66    3.05    1002   17.09    1.70    1002   16.52    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   5   18.82    3.05    1002   18.35    1.70    1002   17.66    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   6   11.30    0.43    1012    9.97    0.43    1012   10.35    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
   7   19.33    0.17       1   19.82    0.12       1   18.98    0.08       1   18.79    0.10       1   19.02    0.47       1
   8   18.15    3.05    1002   17.65    1.70    1002   16.97    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
   9   15.74    3.05    1002   15.01    1.70    1002   14.42    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
  10   16.05    3.05    1002   15.35    1.70    1002   14.67    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
