SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
   1    7.58    0.17    1012    7.59    0.17    1012    6.85    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   2    4.98    1.22    1002    4.67    0.68    1002    4.46    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   3    6.58    1.22    1002    6.42    0.68    1002    6.32    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   4    5.35    1.22    1002    5.07    0.68    1002    5.11    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   5    4.91    1.22    1002    4.59    0.68    1002    4.67    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   6    7.84    0.17    1012    7.87    0.17    1012    7.52    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
   7    7.26    0.19       1    6.56    0.05       1    6.70    0.03       1    6.73    0.04       1    6.63    0.47       1
   8    5.07    1.22    1002    4.77    0.68    1002    4.84    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
   9    5.97    1.22    1002    5.76    0.68    1002    5.81    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
  10    5.88    1.22    1002    5.65    0.68    1002    5.73    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
  11    6.60    1.22    1002    6.45    0.68    1002    6.56    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
  12    6.19    1.22    1002    5.99    0.68    1002    5.86    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
