Standard-system colours of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (12) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalogue.
Column 2: The (U-B)-colour of the galaxy, corrected for extinction and redshift. 
Column 3: The uncertainty of (U-B). The uncertainty, if available, comes from the same source as (U-B) itself.
Column 4: The sources for (U-B) and its uncertainty.
Column 5: The (B-V)-colour of the galaxy, corrected for extinction and redshift. 
Column 6: The uncertainty of (B-V). The uncertainty, if available, comes from the same source as (B-V) itself.
Column 7: The sources for (B-V) and its uncertainty.
Column 8: The (V-I)-colour of the galaxy, corrected for extinction and redshift. 
Column 9: The uncertainty of (V-I). The uncertainty, if available, comes from the same source as (V-I) itself.
Column 10: The sources for $(V-I)$ and its uncertainty.

For a detailed description of the data in this table, see Section (6) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------
  id   (U-B)  d(U-B)       s.  (B-V)  d(B-V)       s.  (V-I)  d(V-I)       s.
       [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------
   1   -0.25   -9.99       1    0.00   -9.99       5   -9.99   -9.99       0
   2   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   3   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   4   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   5   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   6    0.03   -9.99       1    0.50   -9.99       5   -9.99   -9.99       0
   7   -9.99   -9.99       0   -9.99   -9.99       0    1.05    0.06       5
   8   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
   9   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  10   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  11   -9.99   -9.99       0    0.75    0.06       5   -9.99   -9.99       0
  12   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  13   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  14   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  15   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  16   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
